days,RKI Nowcast 4 days,RKI Nowcast 7 days,Projected 7 days
2020-03-05,394.25,NaN,NaN
2020-03-06,508.0,NaN,NaN
2020-03-07,674.0,665.2857142857143,NaN
2020-03-08,895.75,910.5714285714286,NaN
2020-03-09,1275.25,1231.857142857143,NaN
2020-03-10,1727.75,1630.0,NaN
2020-03-11,2291.0,2072.4285714285716,NaN
2020-03-12,2856.75,2587.0,4846.2931968674575
2020-03-13,3441.75,3080.4285714285716,5823.149109374865
2020-03-14,3909.0,3557.1428571428573,6444.1377918959715
2020-03-15,4268.25,4128.857142857143,6820.232226447477
2020-03-16,4874.0,4509.428571428572,7274.352987557003
2020-03-17,5092.0,4802.571428571428,7139.918359875637
2020-03-18,5304.75,4963.571428571428,6884.279667172833
2020-03-19,5318.0,5101.285714285715,6486.950099377623
2020-03-20,5143.5,5101.714285714285,6069.6991719826565
2020-03-21,4945.5,4978.142857142857,5650.2837164097045
2020-03-22,4575.5,4853.285714285715,5131.421792331549
2020-03-23,4681.0,4687.285714285715,4769.288323828858
2020-03-24,4367.5,4563.428571428572,4385.570409797435
2020-03-25,4362.75,4459.0,4196.400301014404
2020-03-26,4409.5,4287.714285714285,4119.049512241194
2020-03-27,4153.75,4208.428571428572,3914.5862313092744
2020-03-28,4107.5,4130.428571428572,3888.525548457123
2020-03-29,3817.75,4022.1428571428573,3818.432267219381
2020-03-30,3916.5,3951.8571428571427,3727.5828358780345
2020-03-31,3779.75,3896.714285714286,3713.4776774097327
2020-04-01,3817.25,3858.8571428571427,3680.574162941108
2020-04-02,3934.25,3802.285714285714,3678.1222665321234
2020-04-03,3769.0,3676.5714285714284,3647.834244284198
2020-04-04,3625.75,3595.1428571428573,3486.0896590992065
2020-04-05,3290.0,3445.714285714286,3369.639154407861
2020-04-06,3193.5,3370.285714285714,3154.3338215102153
2020-04-07,3023.75,3204.285714285714,3057.775380796862
2020-04-08,2990.75,3056.1428571428573,2884.5160931299647
2020-04-09,2991.0,2855.1428571428573,2722.8633330504936
2020-04-10,2735.5,2713.285714285714,2492.9064321065193
2020-04-11,2476.0,2607.4285714285716,2303.2774535107887
2020-04-12,2245.5,2398.8571428571427,2206.402326232436
2020-04-13,2043.25,2240.8571428571427,1973.5298283520242
2020-04-14,1948.75,2107.1428571428573,1851.322886925131
2020-04-15,1930.0,1972.5714285714287,1748.0723223147074
2020-04-16,1880.0,1875.7142857142858,1625.5375516190977
2020-04-17,1820.0,1793.142857142857,1583.3652394454116
2020-04-18,1692.5,1700.7142857142858,1526.3610698686837
2020-04-19,1534.25,1657.0,1443.0417529539486
2020-04-20,1491.0,1571.857142857143,1445.3391129195531
2020-04-21,1417.0,1480.142857142857,1369.1079725939708
2020-04-22,1382.25,1410.5714285714287,1283.296954285369
2020-04-23,1372.25,1339.7142857142858,1235.6951721893747
2020-04-24,1264.75,1277.7142857142858,1148.0600418172708
2020-04-25,1177.75,1220.5714285714287,1093.8103512648197
2020-04-26,1080.0,1152.5714285714287,1047.748889916916
2020-04-27,1039.5,1095.0,986.2437741623752
2020-04-28,988.75,1033.142857142857,937.3739130059657
2020-04-29,954.25,986.4285714285714,881.653398406639
2020-04-30,962.5,938.7142857142857,850.6370146629912
2020-05-01,890.5,901.2857142857143,809.0075305216693
2020-05-02,838.75,879.8571428571429,779.4417600284495
2020-05-03,811.75,849.4285714285714,777.9325686479937
2020-05-04,799.75,831.4285714285714,759.0770683530383
2020-05-05,801.0,814.0,759.9180399323832
2020-05-06,801.5,780.2857142857143,755.8745186747365
2020-05-07,788.25,760.7142857142857,717.7590669553956
2020-05-08,735.25,738.2857142857143,700.9278864828681
2020-05-09,675.75,709.7142857142857,672.1771105228171
2020-05-10,629.25,677.8571428571429,635.0252299525818
2020-05-11,620.5,649.2857142857143,607.2884100645133
2020-05-12,606.0,627.1428571428571,575.9363280943622
2020-05-13,607.0,601.8571428571429,557.5255879062378
2020-05-14,599.5,601.8571428571429,536.8817478076083
2020-05-15,602.25,598.4285714285714,553.438490405856
2020-05-16,586.75,582.5714285714286,563.4251763886324
2020-05-17,551.25,575.2857142857143,550.1849162206087
2020-05-18,574.0,553.7142857142857,556.4976964604737
2020-05-19,521.75,550.4285714285714,519.0190163241645
2020-05-20,523.0,530.7142857142857,516.1855270497518
2020-05-21,508.75,489.0,494.5857939630699
2020-05-22,451.25,461.2857142857143,431.7872237486724
2020-05-23,425.0,451.0,401.53156650926223
2020-05-24,377.25,429.7142857142857,381.69888661853923
2020-05-25,397.25,424.57142857142856,367.1014498488897
2020-05-26,409.0,409.2857142857143,382.76420786627506
2020-05-27,432.0,407.85714285714283,378.6104247190087
2020-05-28,433.25,402.2857142857143,381.9948656227597
2020-05-29,403.25,391.85714285714283,383.5508981933178
2020-05-30,367.75,377.14285714285717,368.06710810397516
2020-05-31,321.0,357.2857142857143,351.30913772482734
2020-06-01,308.75,358.14285714285717,319.8862930620931
2020-06-02,331.75,350.0,327.11709548104517
2020-06-03,358.75,344.85714285714283,323.9908279954573
2020-06-04,376.75,341.0,326.0736805525359
2020-06-05,374.75,342.42857142857144,331.0544825509924
2020-06-06,340.25,337.57142857142856,331.25206981216746
2020-06-07,299.25,349.57142857142856,327.3584568617867
2020-06-08,317.0,350.85714285714283,353.62136897209103
2020-06-09,349.0,355.7142857142857,358.60022437516807
2020-06-10,382.0,360.0,365.1806521582751
2020-06-11,416.0,367.2857142857143,374.57070035354775
2020-06-12,405.75,376.42857142857144,379.5227940994335
2020-06-13,385.0,394.0,396.9222806346744
2020-06-14,366.25,426.85714285714283,430.183613504858
2020-06-15,434.0,522.2857142857143,488.97466239242203
2020-06-16,620.25,555.1428571428571,665.2579211357291
2020-06-17,694.75,578.5714285714286,709.1141010152517
2020-06-18,739.0,607.0,728.4296170815495
2020-06-19,721.0,622.0,773.0940670092797
2020-06-20,559.5,623.4285714285714,730.1182424827048
2020-06-21,485.75,599.5714285714286,701.2779557318515
2020-06-22,470.75,501.85714285714283,620.8537792212707
2020-06-23,436.25,473.7142857142857,430.34433323034864
2020-06-24,435.25,455.14285714285717,388.41646732112594
2020-06-25,444.5,435.2857142857143,369.98088450967106
2020-06-26,433.5,419.0,354.8169525573001
2020-06-27,414.5,411.2857142857143,369.6795946931406
2020-06-28,376.5,403.57142857142856,368.3115469569301
2020-06-29,380.5,404.0,368.2449703783912
2020-06-30,381.5,395.2857142857143,381.239444532675
2020-07-01,393.75,385.7142857142857,378.77938993788524
2020-07-02,399.75,373.85714285714283,369.0019078604441
2020-07-03,381.5,365.42857142857144,354.3329819434639
2020-07-04,347.0,362.42857142857144,338.5105074268101
2020-07-05,319.0,356.14285714285717,337.0468241895566
2020-07-06,328.75,347.2857142857143,334.21790103093974
2020-07-07,335.0,340.42857142857144,328.42015119813
2020-07-08,350.0,345.85714285714283,324.0499537459768
2020-07-09,370.75,357.57142857142856,335.3195847136681
2020-07-10,384.0,370.14285714285717,358.54260194406515
2020-07-11,387.0,380.14285714285717,387.72581269286127
2020-07-12,388.5,403.85714285714283,413.8275752444609
2020-07-13,430.25,424.0,453.1032445904738
2020-07-14,451.25,452.2857142857143,481.7225591032886
2020-07-15,493.75,465.7142857142857,523.7667305832916
2020-07-16,520.5,480.42857142857144,537.5049990514183
2020-07-17,518.0,495.42857142857144,545.9079403318201
2020-07-18,512.0,517.1428571428571,558.960798543542
2020-07-19,502.0,538.0,578.004533696413
2020-07-20,556.75,564.8571428571429,601.1519127610553
2020-07-21,599.0,590.7142857142857,637.754467259773
2020-07-22,660.5,621.7142857142857,667.6005771150129
2020-07-23,703.5,644.5714285714286,705.2660877449255
2020-07-24,704.5,662.4285714285714,734.5963806940136
2020-07-25,682.75,675.2857142857143,749.9962571518388
2020-07-26,650.0,693.8571428571429,755.4558764866972
2020-07-27,683.0,704.0,758.1600778319843
2020-07-28,703.0,704.8571428571429,754.4467542111003
2020-07-29,734.75,714.8571428571429,737.5653590711985
2020-07-30,772.75,727.2857142857143,743.4952660453422
2020-07-31,763.0,757.1428571428571,752.2863318436337
2020-08-01,775.75,799.5714285714286,799.7705539275612
2020-08-02,815.75,836.5714285714286,881.8869572231513
2020-08-03,896.0,865.8571428571429,939.3728011276763
2020-08-04,945.5,900.4285714285714,982.0528072828254
2020-08-05,985.5,935.8571428571429,1019.9395623207344
2020-08-06,1011.25,974.4285714285714,1049.3765132049477
2020-08-07,1004.25,1000.7142857142857,1096.9902272301554
2020-08-08,1011.75,1020.0,1122.5350357350005
2020-08-09,1025.0,1066.7142857142858,1125.8956865013836
2020-08-10,1125.0,1116.4285714285713,1175.8077632816837
2020-08-11,1194.0,1164.7142857142858,1233.1242212932355
2020-08-12,1272.5,1213.2857142857142,1297.8196823683977
2020-08-13,1349.5,1250.857142857143,1370.1716668778863
