days,RKI Nowcast 4 days,RKI Nowcast 7 days,Projected 7 days
2020-03-04,308.0,NaN,NaN
2020-03-05,362.0,NaN,NaN
2020-03-06,459.0,454.0,NaN
2020-03-07,589.0,579.0,NaN
2020-03-08,762.0,789.0,NaN
2020-03-09,1092.0,1069.0,NaN
2020-03-10,1487.0,1413.0,NaN
2020-03-11,1987.0,1802.0,3165.0
2020-03-12,2503.0,2262.0,4146.0
2020-03-13,3037.0,2702.0,5062.0
2020-03-14,3446.0,3122.0,5679.0
2020-03-15,3752.0,3653.0,6057.0
2020-03-16,4331.0,4034.0,6532.0
2020-03-17,4588.0,4366.0,6509.0
2020-03-18,4899.0,4568.0,6426.0
2020-03-19,5034.0,4753.0,6170.0
2020-03-20,4962.0,4801.0,5875.0
2020-03-21,4786.0,4710.0,5535.0
2020-03-22,4354.0,4635.0,5025.0
2020-03-23,4448.0,4506.0,4689.0
2020-03-24,4156.0,4423.0,4316.0
2020-03-25,4239.0,4378.0,4156.0
2020-03-26,4454.0,4273.0,4159.0
2020-03-27,4329.0,4233.0,4035.0
2020-03-28,4310.0,4182.0,4050.0
2020-03-29,3930.0,4094.0,4000.0
2020-03-30,3951.0,4088.0,3890.0
2020-03-31,3831.0,4073.0,3946.0
2020-04-01,3959.0,4069.0,3955.0
2020-04-02,4258.0,4060.0,3993.0
2020-04-03,4270.0,3963.0,4037.0
2020-04-04,4091.0,3904.0,3877.0
2020-04-05,3634.0,3782.0,3773.0
2020-04-06,3447.0,3707.0,3563.0
2020-04-07,3213.0,3563.0,3432.0
2020-04-08,3259.0,3426.0,3274.0
2020-04-09,3422.0,3165.0,3126.0
2020-04-10,3191.0,3033.0,2806.0
2020-04-11,2910.0,2928.0,2627.0
2020-04-12,2523.0,2683.0,2496.0
2020-04-13,2147.0,2483.0,2177.0
2020-04-14,2020.0,2307.0,2023.0
2020-04-15,1988.0,2144.0,1862.0
2020-04-16,2051.0,2090.0,1736.0
2020-04-17,2153.0,1991.0,1786.0
2020-04-18,2050.0,1906.0,1729.0
2020-04-19,1821.0,1881.0,1660.0
2020-04-20,1686.0,1805.0,1693.0
2020-04-21,1520.0,1733.0,1593.0
2020-04-22,1537.0,1651.0,1549.0
2020-04-23,1606.0,1547.0,1489.0
2020-04-24,1569.0,1474.0,1359.0
2020-04-25,1471.0,1401.0,1285.0
2020-04-26,1239.0,1338.0,1185.0
2020-04-27,1137.0,1275.0,1125.0
2020-04-28,1042.0,1184.0,1079.0
2020-04-29,1030.0,1121.0,995.0
2020-04-30,1116.0,1035.0,965.0
2020-05-01,1040.0,971.0,876.0
2020-05-02,940.0,944.0,806.0
2020-05-03,819.0,895.0,788.0
2020-05-04,742.0,868.0,742.0
2020-05-05,750.0,843.0,751.0
2020-05-06,806.0,803.0,759.0
2020-05-07,868.0,795.0,727.0
2020-05-08,865.0,785.0,738.0
2020-05-09,794.0,762.0,731.0
2020-05-10,678.0,742.0,702.0
2020-05-11,636.0,705.0,693.0
2020-05-12,592.0,675.0,636.0
2020-05-13,614.0,642.0,600.0
2020-05-14,658.0,629.0,573.0
2020-05-15,666.0,614.0,566.0
2020-05-16,635.0,607.0,560.0
2020-05-17,558.0,600.0,557.0
2020-05-18,561.0,585.0,568.0
2020-05-19,516.0,587.0,551.0
2020-05-20,566.0,556.0,567.0
2020-05-21,570.0,518.0,524.0
2020-05-22,523.0,496.0,468.0
2020-05-23,479.0,482.0,440.0
2020-05-24,375.0,456.0,404.0
2020-05-25,386.0,462.0,387.0
2020-05-26,418.0,436.0,421.0
2020-05-27,461.0,440.0,401.0
2020-05-28,496.0,431.0,416.0
2020-05-29,478.0,429.0,416.0
2020-05-30,422.0,417.0,406.0
2020-05-31,342.0,387.0,401.0
2020-06-01,294.0,354.0,343.0
2020-06-02,284.0,345.0,299.0
2020-06-03,315.0,346.0,293.0
2020-06-04,372.0,347.0,309.0
2020-06-05,408.0,336.0,327.0
2020-06-06,390.0,332.0,326.0
2020-06-07,320.0,351.0,323.0
2020-06-08,302.0,360.0,355.0
2020-06-09,307.0,363.0,372.0
2020-06-10,362.0,343.0,386.0
2020-06-11,390.0,341.0,350.0
2020-06-12,390.0,352.0,335.0
2020-06-13,376.0,362.0,346.0
2020-06-14,319.0,367.0,362.0
2020-06-15,343.0,446.0,387.0
2020-06-16,491.0,475.0,545.0
2020-06-17,578.0,511.0,576.0
2020-06-18,650.0,561.0,626.0
2020-06-19,731.0,575.0,720.0
2020-06-20,602.0,587.0,705.0
2020-06-21,515.0,604.0,719.0
2020-06-22,506.0,539.0,711.0
2020-06-23,452.0,507.0,519.0
2020-06-24,459.0,498.0,459.0
2020-06-25,494.0,467.0,443.0
2020-06-26,492.0,451.0,400.0
2020-06-27,449.0,440.0,400.0
2020-06-28,398.0,431.0,393.0
2020-06-29,389.0,424.0,385.0
2020-06-30,376.0,419.0,391.0
2020-07-01,402.0,406.0,396.0
2020-07-02,433.0,391.0,385.0
2020-07-03,421.0,385.0,367.0
2020-07-04,381.0,381.0,359.0
2020-07-05,330.0,369.0,351.0
2020-07-06,325.0,359.0,341.0
2020-07-07,319.0,353.0,334.0
2020-07-08,347.0,351.0,332.0
2020-07-09,382.0,358.0,334.0
2020-07-10,403.0,366.0,352.0
2020-07-11,395.0,367.0,372.0
2020-07-12,354.0,381.0,378.0
2020-07-13,377.0,393.0,406.0
2020-07-14,380.0,416.0,424.0
2020-07-15,434.0,432.0,459.0
2020-07-16,497.0,443.0,481.0
2020-07-17,512.0,464.0,489.0
2020-07-18,519.0,485.0,521.0
2020-07-19,475.0,504.0,551.0
2020-07-20,503.0,523.0,571.0
2020-07-21,520.0,539.0,599.0
2020-07-22,566.0,561.0,604.0
2020-07-23,629.0,590.0,619.0
2020-07-24,662.0,603.0,657.0
2020-07-25,659.0,611.0,667.0
2020-07-26,600.0,621.0,676.0
2020-07-27,608.0,639.0,674.0
2020-07-28,606.0,654.0,684.0
2020-07-29,654.0,667.0,696.0
2020-07-30,726.0,687.0,708.0
2020-07-31,776.0,701.0,733.0
2020-08-01,767.0,719.0,747.0
2020-08-02,714.0,750.0,775.0
2020-08-03,754.0,778.0,823.0
2020-08-04,767.0,811.0,861.0
2020-08-05,846.0,858.0,905.0
2020-08-06,970.0,884.0,969.0
2020-08-07,1010.0,904.0,985.0
2020-08-08,988.0,911.0,1007.0
2020-08-09,889.0,960.0,1002.0
2020-08-10,933.0,1003.0,1053.0
2020-08-11,976.0,1067.0,1114.0
2020-08-12,1132.0,1118.0,1209.0
2020-08-13,1334.0,1158.0,1272.0
2020-08-14,1356.0,1175.0,1306.0
2020-08-15,1288.0,1201.0,1315.0
2020-08-16,1123.0,1245.0,1330.0
2020-08-17,1155.0,1287.0,1367.0
2020-08-18,1202.0,1302.0,1409.0
2020-08-19,1353.0,1298.0,1405.0
2020-08-20,1503.0,1323.0,1362.0
2020-08-21,1492.0,1332.0,1376.0
2020-08-22,1368.0,1337.0,1367.0
2020-08-23,1184.0,1331.0,1368.0
2020-08-24,1212.0,1330.0,1359.0
2020-08-25,1214.0,1317.0,1336.0
2020-08-26,1327.0,1322.0,1306.0
2020-08-27,1478.0,1293.0,1313.0
2020-08-28,1425.0,1270.0,1269.0
2020-08-29,1263.0,1261.0,1227.0
2020-08-30,1086.0,1225.0,1215.0
2020-08-31,1043.0,1215.0,1147.0
2020-09-01,1078.0,1199.0,1153.0
2020-09-02,1202.0,1196.0,1149.0
2020-09-03,1363.0,1224.0,1159.0
2020-09-04,1422.0,1264.0,1223.0
2020-09-05,1349.0,1289.0,1300.0
2020-09-06,1244.0,1344.0,1367.0
2020-09-07,1302.0,1368.0,1479.0
2020-09-08,1330.0,1422.0,1498.0
2020-09-09,1477.0,1455.0,1553.0
2020-09-10,1654.0,1478.0,1575.0
2020-09-11,1657.0,1514.0,1574.0
2020-09-12,1605.0,1543.0,1630.0
2020-09-13,1458.0,1577.0,1653.0
2020-09-14,1515.0,1629.0,1684.0
2020-09-15,1594.0,1676.0,1762.0
2020-09-16,1761.0,1732.0,1806.0
2020-09-17,1984.0,1777.0,1866.0
2020-09-18,2008.0,1784.0,1924.0
2020-09-19,1877.0,1787.0,1907.0
