k;New cases (True);Nowcasting;reported cases;delayed;true R
7;7;7;0;0;3.20
8;9;9;0;0;3.20
9;11;11;0;0;3.20
10;15;15;0;0;3.20
11;22;22;0;0;3.20
12;29;29;0;0;3.20
13;39;39;0;0;3.20
14;52;52;0;0;3.20
15;72;72;0;0;3.20
16;98;98;0;0;3.20
17;132;132;7;24;3.20
18;178;178;9;31;3.20
19;243;243;11;86;3.20
20;330;330;15;105;3.20
21;446;446;22;226;3.20
22;605;605;29;254;3.20
23;821;821;39;432;3.20
24;1114;1114;52;197;3.20
25;1510;1510;72;261;3.20
26;2047;2047;98;727;3.20
27;2777;2777;132;882;3.20
28;3766;3766;178;1905;3.20
29;5107;5107;243;2144;3.20
30;5432;5432;330;3645;2.51
31;5949;5949;446;1664;2.03
32;6470;6470;605;2200;1.69
33;6905;6905;821;5690;1.45
34;6957;6957;1114;4708;1.29
35;6978;6978;1510;6736;1.17
36;6970;6970;2047;5713;1.09
37;6960;6960;2777;7596;1.03
38;6854;6854;3766;7039;0.99
39;6719;6719;5107;5554;0.96
40;6577;6577;5432;8364;0.95
41;6447;6447;5949;5488;0.93
42;6301;6301;6470;6621;0.92
43;6148;6148;6905;5915;0.92
44;5993;5993;6957;7833;0.91
45;5846;5846;6978;7402;0.91
46;5700;5700;6970;5167;0.91
47;5556;5556;6960;7392;0.90
48;5412;5412;6854;4692;0.90
49;5273;5273;6719;5599;0.90
50;5138;5138;6577;5050;0.90
51;5006;5006;6447;6634;0.90
52;4876;4876;6301;6285;0.90
53;4750;4750;6148;4345;0.90
54;4627;4627;5993;6180;0.90
55;4508;4508;5846;3915;0.90
56;4391;4391;5700;4664;0.90
57;4277;4277;5556;4211;0.90
58;4167;4167;5412;5531;0.90
59;4059;4059;5273;5238;0.90
60;3954;3954;5138;3619;0.90
61;3851;3851;5006;5145;0.90
62;3752;3752;4876;3259;0.90
63;3655;3655;4750;3882;0.90
64;3560;3560;4627;3505;0.90
65;3468;3468;4508;4604;0.90
66;3378;3378;4391;4360;0.90
67;3291;3291;4277;3012;0.90
68;3205;3205;4167;4282;0.90
69;3122;3122;4059;2712;0.90
70;3042;3042;3954;3231;0.90
71;2963;2963;3851;2917;0.90
72;2886;2886;3752;3832;0.90
73;2811;2811;3655;3629;0.90
74;2739;2739;3560;2506;0.90
75;2668;2668;3468;3564;0.90
76;2599;2599;3378;2257;0.90
77;2531;2531;3291;2690;0.90
78;2466;2466;3205;2428;0.90
79;2402;2402;3122;3189;0.90
80;2340;2340;3042;3020;0.90
81;2279;2279;2963;2086;0.90
82;2220;2220;2886;2966;0.90
83;2163;2163;2811;1878;0.90
84;2107;2107;2739;2238;0.90
85;2052;2052;2668;2021;0.90
86;1999;1999;2599;2654;0.90
87;1947;1947;2531;2514;0.90
88;1897;1897;2466;1736;0.90
89;1848;1848;2402;2468;0.90
90;1800;1800;2340;1563;0.90
91;1753;1753;2279;1863;0.90
92;1708;1708;2220;1682;0.90
93;1664;1664;2163;2209;0.90
94;1621;1621;2107;2092;0.90
95;1579;1579;2052;1445;0.90
96;1538;1538;1999;2054;0.90
97;1498;1498;1947;1301;0.90
98;1459;1459;1897;1550;0.90
99;1422;1422;1848;1400;0.90
100;1408;1408;1800;1839;0.92
101;1387;1387;1753;1741;0.93
102;1364;1364;1708;1203;0.93
103;1342;1342;1664;1717;0.94
104;1325;1325;1621;1111;0.94
105;1308;1308;1579;1349;0.94
106;1291;1291;1538;1216;0.95
107;1273;1273;1498;1613;0.95
108;1257;1257;1459;1503;0.95
109;1241;1241;1422;1062;0.95
110;1225;1225;1408;1551;0.95
111;1209;1209;1387;1007;0.95
112;1194;1194;1364;1230;0.95
113;1179;1179;1342;1108;0.95
114;1164;1164;1325;1466;0.95
115;1149;1149;1308;1367;0.95
116;1134;1134;1291;969;0.95
117;1120;1120;1273;1416;0.95
118;1106;1106;1257;921;0.95
119;1092;1092;1241;1124;0.95
120;1078;1078;1225;1013;0.95
121;1064;1064;1209;1341;0.95
122;1051;1051;1194;1249;0.95
123;1037;1037;1179;886;0.95
124;1024;1024;1164;1295;0.95
125;1011;1011;1149;842;0.95
126;998;998;1134;1028;0.95
127;985;985;1120;926;0.95
128;973;973;1106;1226;0.95
129;960;960;1092;1142;0.95
130;948;948;1078;810;0.95
131;936;936;1064;1184;0.95
132;924;924;1051;770;0.95
133;912;912;1037;940;0.95
134;901;901;1024;846;0.95
135;889;889;1011;1120;0.95
136;878;878;998;1044;0.95
137;867;867;985;740;0.95
138;856;856;973;1082;0.95
139;845;845;960;703;0.95
140;834;834;948;859;0.95
141;824;824;936;774;0.95
142;813;813;924;1024;0.95
143;803;803;912;955;0.95
144;793;793;901;677;0.95
145;783;783;889;990;0.95
146;773;773;878;643;0.95
147;763;763;867;786;0.95
148;753;753;856;708;0.95
149;744;744;845;937;0.95
150;734;734;834;873;0.95
151;725;725;824;619;0.95
152;716;716;813;905;0.95
153;707;707;803;588;0.95
154;698;698;793;719;0.95
155;689;689;783;647;0.95
156;680;680;773;857;0.95
157;672;672;763;798;0.95
158;663;663;753;566;0.95
159;655;655;744;828;0.95
160;646;646;734;538;0.95
161;638;638;725;657;0.95
162;630;630;716;592;0.95
163;622;622;707;784;0.95
164;614;614;698;730;0.95
165;606;606;689;518;0.95
166;598;598;680;757;0.95
167;591;591;672;492;0.95
168;583;583;663;600;0.95
169;576;576;655;541;0.95
170;568;568;646;716;0.95
171;561;561;638;667;0.95
172;554;554;630;473;0.95
173;547;547;622;692;0.95
174;540;540;614;450;0.95
175;533;533;606;549;0.95
176;526;526;598;495;0.95
177;520;520;591;654;0.95
178;513;513;583;610;0.95
179;506;506;576;433;0.95
180;500;500;568;632;0.95
181;494;494;561;411;0.95
182;487;487;554;502;0.95
183;481;481;547;452;0.95
184;475;475;540;598;0.95
185;469;469;533;558;0.95
186;463;463;526;396;0.95
187;457;457;520;578;0.95
188;451;451;513;376;0.95
189;446;446;506;459;0.95
190;440;440;500;413;0.95
191;434;434;494;547;0.95
192;429;429;487;510;0.95
193;423;423;481;362;0.95
194;418;418;475;529;0.95
195;413;413;469;344;0.95
196;407;407;463;420;0.95
197;402;402;457;378;0.95
198;397;397;451;500;0.95
199;392;392;446;466;0.95
200;393;393;440;331;0.96
201;392;392;434;483;0.98
202;391;391;429;315;0.98
203;389;389;423;392;0.99
204;389;389;418;355;0.99
205;389;389;413;470;0.99
206;389;389;407;432;1.00
207;389;389;402;313;1.00
208;388;388;397;467;1.00
209;388;388;392;311;1.00
210;389;389;393;388;1.00
211;388;388;392;350;1.00
212;388;388;391;466;1.00
213;388;388;389;428;1.00
214;388;388;389;311;1.00
215;388;388;389;466;1.00
216;388;388;389;310;1.00
217;388;388;389;388;1.00
218;388;388;388;349;1.00
219;388;388;388;466;1.00
220;388;388;389;427;1.00
221;388;388;388;310;1.00
222;388;388;388;466;1.00
223;388;388;388;310;1.00
224;388;388;388;388;1.00
225;388;388;388;349;1.00
226;388;388;388;466;1.00
227;388;388;388;427;1.00
228;388;388;388;310;1.00
229;388;388;388;466;1.00
230;388;388;388;310;1.00
231;388;388;388;388;1.00
232;388;388;388;349;1.00
233;388;388;388;466;1.00
234;388;388;388;427;1.00
235;388;388;388;310;1.00
236;388;388;388;466;1.00
237;388;388;388;310;1.00
238;388;388;388;388;1.00
239;388;388;388;349;1.00
240;388;388;388;466;1.00
241;388;388;388;427;1.00
242;388;388;388;310;1.00
243;388;388;388;466;1.00
244;388;388;388;310;1.00
245;388;388;388;388;1.00
246;388;388;388;349;1.00
247;388;388;388;466;1.00
248;388;388;388;427;1.00
249;388;388;388;310;1.00
250;388;388;388;466;1.00
251;388;388;388;310;1.00
252;388;388;388;388;1.00
253;388;388;388;349;1.00
254;388;388;388;466;1.00
255;388;388;388;427;1.00
256;388;388;388;310;1.00
257;388;388;388;466;1.00
258;388;388;388;310;1.00
259;388;388;388;388;1.00
260;388;388;388;349;1.00
261;388;388;388;466;1.00
262;388;388;388;427;1.00
263;388;388;388;310;1.00
264;388;388;388;466;1.00
265;388;388;388;310;1.00
266;388;388;388;388;1.00
267;388;388;388;349;1.00
268;388;388;388;466;1.00
269;388;388;388;427;1.00
270;388;388;388;310;1.00
271;388;388;388;466;1.00
272;388;388;388;310;1.00
273;388;388;388;388;1.00
274;388;388;388;349;1.00
275;388;388;388;466;1.00
276;388;388;388;427;1.00
277;388;388;388;310;1.00
278;388;388;388;466;1.00
279;388;388;388;310;1.00
280;388;388;388;388;1.00
281;388;388;388;349;1.00
282;388;388;388;466;1.00
283;388;388;388;427;1.00
284;388;388;388;310;1.00
285;388;388;388;466;1.00
286;388;388;388;310;1.00
287;388;388;388;388;1.00
288;388;388;388;349;1.00
289;388;388;388;466;1.00
290;388;388;388;427;1.00
291;388;388;388;310;1.00
292;388;388;388;466;1.00
293;388;388;388;310;1.00
294;388;388;388;388;1.00
295;388;388;388;349;1.00
296;388;388;388;466;1.00
297;388;388;388;427;1.00
298;388;388;388;310;1.00
299;388;388;388;466;1.00
300;388;388;388;310;1.00
301;388;388;388;388;1.00
302;388;388;388;349;1.00
303;388;388;388;466;1.00
304;388;388;388;427;1.00
305;388;388;388;310;1.00
306;388;388;388;466;1.00
307;388;388;388;310;1.00
308;388;388;388;388;1.00
309;388;388;388;349;1.00
310;388;388;388;466;1.00
311;388;388;388;427;1.00
312;388;388;388;310;1.00
313;388;388;388;466;1.00
314;388;388;388;310;1.00
315;388;388;388;388;1.00
316;388;388;388;349;1.00
