k;New cases (True);Nowcasting;reported cases;delayed;true R
7;7;7;0;0;3.20
8;9;9;0;0;3.20
9;11;11;0;0;3.20
10;15;15;0;0;3.20
11;22;22;0;0;3.20
12;29;29;0;0;3.20
13;39;39;0;0;3.20
14;52;52;0;0;3.20
15;72;72;0;0;3.20
16;98;98;0;0;3.20
17;132;132;7;16;3.20
18;178;178;9;22;3.20
19;243;243;11;34;3.20
20;330;330;15;44;3.20
21;446;446;22;55;3.20
22;605;605;29;75;3.20
23;821;821;39;96;3.20
24;1114;1114;52;137;3.20
25;1510;1510;72;189;3.20
26;2047;2047;98;285;3.20
27;2777;2777;132;369;3.20
28;3766;3766;178;462;3.20
29;5107;5107;243;636;3.20
30;5432;5432;330;813;2.51
31;5949;5949;446;1118;2.03
32;6470;6470;605;1447;1.69
33;6905;6905;821;2001;1.45
34;6957;6957;1114;2386;1.29
35;6978;6978;1510;2743;1.17
36;6970;6970;2047;3348;1.09
37;6960;6960;2777;3800;1.03
38;6854;6854;3766;4495;0.99
39;6719;6719;5107;5083;0.96
40;6577;6577;5432;5780;0.95
41;6447;6447;5949;6153;0.93
42;6301;6301;6470;6376;0.92
43;6148;6148;6905;6547;0.92
44;5993;5993;6957;6666;0.91
45;5846;5846;6978;6744;0.91
46;5700;5700;6970;6743;0.91
47;5556;5556;6960;6656;0.90
48;5412;5412;6854;6579;0.90
49;5273;5273;6719;6499;0.90
50;5138;5138;6577;6363;0.90
51;5006;5006;6447;6253;0.90
52;4876;4876;6301;6087;0.90
53;4750;4750;6148;5939;0.90
54;4627;4627;5993;5738;0.90
55;4508;4508;5846;5613;0.90
56;4391;4391;5700;5511;0.90
57;4277;4277;5556;5370;0.90
58;4167;4167;5412;5260;0.90
59;4059;4059;5273;5103;0.90
60;3954;3954;5138;4967;0.90
61;3851;3851;5006;4790;0.90
62;3752;3752;4876;4681;0.90
63;3655;3655;4750;4594;0.90
64;3560;3560;4627;4475;0.90
65;3468;3468;4508;4382;0.90
66;3378;3378;4391;4250;0.90
67;3291;3291;4277;4136;0.90
68;3205;3205;4167;3988;0.90
69;3122;3122;4059;3897;0.90
70;3042;3042;3954;3824;0.90
71;2963;2963;3851;3724;0.90
72;2886;2886;3752;3647;0.90
73;2811;2811;3655;3537;0.90
74;2739;2739;3560;3442;0.90
75;2668;2668;3468;3319;0.90
76;2599;2599;3378;3243;0.90
77;2531;2531;3291;3182;0.90
78;2466;2466;3205;3100;0.90
79;2402;2402;3122;3035;0.90
80;2340;2340;3042;2944;0.90
81;2279;2279;2963;2865;0.90
82;2220;2220;2886;2762;0.90
83;2163;2163;2811;2699;0.90
84;2107;2107;2739;2648;0.90
85;2052;2052;2668;2580;0.90
86;1999;1999;2599;2526;0.90
87;1947;1947;2531;2450;0.90
88;1897;1897;2466;2384;0.90
89;1848;1848;2402;2299;0.90
90;1800;1800;2340;2246;0.90
91;1753;1753;2279;2204;0.90
92;1708;1708;2220;2147;0.90
93;1664;1664;2163;2102;0.90
94;1621;1621;2107;2039;0.90
95;1579;1579;2052;1984;0.90
96;1538;1538;1999;1913;0.90
97;1498;1498;1947;1870;0.90
98;1459;1459;1897;1834;0.90
99;1422;1422;1848;1787;0.90
100;1408;1408;1800;1750;0.92
101;1387;1387;1753;1698;0.93
102;1364;1364;1708;1653;0.93
103;1342;1342;1664;1597;0.94
104;1325;1325;1621;1563;0.94
105;1308;1308;1579;1536;0.94
106;1291;1291;1538;1501;0.95
107;1273;1273;1498;1474;0.95
108;1257;1257;1459;1438;0.95
109;1241;1241;1422;1409;0.95
110;1225;1225;1408;1375;0.95
111;1209;1209;1387;1355;0.95
112;1194;1194;1364;1340;0.95
113;1179;1179;1342;1322;0.95
114;1164;1164;1325;1307;0.95
115;1149;1149;1308;1286;0.95
116;1134;1134;1291;1268;0.95
117;1120;1120;1273;1245;0.95
118;1106;1106;1257;1231;0.95
119;1092;1092;1241;1220;0.95
120;1078;1078;1225;1204;0.95
121;1064;1064;1209;1192;0.95
122;1051;1051;1194;1174;0.95
123;1037;1037;1179;1159;0.95
124;1024;1024;1164;1138;0.95
125;1011;1011;1149;1125;0.95
126;998;998;1134;1115;0.95
127;985;985;1120;1101;0.95
128;973;973;1106;1090;0.95
129;960;960;1092;1073;0.95
130;948;948;1078;1059;0.95
131;936;936;1064;1041;0.95
132;924;924;1051;1029;0.95
133;912;912;1037;1019;0.95
134;901;901;1024;1006;0.95
135;889;889;1011;996;0.95
136;878;878;998;981;0.95
137;867;867;985;968;0.95
138;856;856;973;951;0.95
139;845;845;960;941;0.95
140;834;834;948;932;0.95
141;824;824;936;920;0.95
142;813;813;924;911;0.95
143;803;803;912;897;0.95
144;793;793;901;885;0.95
145;783;783;889;870;0.95
146;773;773;878;860;0.95
147;763;763;867;852;0.95
148;753;753;856;841;0.95
149;744;744;845;833;0.95
150;734;734;834;820;0.95
151;725;725;824;810;0.95
152;716;716;813;795;0.95
153;707;707;803;787;0.95
154;698;698;793;779;0.95
155;689;689;783;769;0.95
156;680;680;773;762;0.95
157;672;672;763;750;0.95
158;663;663;753;740;0.95
159;655;655;744;727;0.95
160;646;646;734;719;0.95
161;638;638;725;713;0.95
162;630;630;716;704;0.95
163;622;622;707;696;0.95
164;614;614;698;686;0.95
165;606;606;689;677;0.95
166;598;598;680;665;0.95
167;591;591;672;658;0.95
168;583;583;663;652;0.95
169;576;576;655;643;0.95
170;568;568;646;637;0.95
171;561;561;638;627;0.95
172;554;554;630;619;0.95
173;547;547;622;608;0.95
174;540;540;614;601;0.95
175;533;533;606;596;0.95
176;526;526;598;588;0.95
177;520;520;591;582;0.95
178;513;513;583;573;0.95
179;506;506;576;566;0.95
180;500;500;568;556;0.95
181;494;494;561;550;0.95
182;487;487;554;544;0.95
183;481;481;547;538;0.95
184;475;475;540;532;0.95
185;469;469;533;524;0.95
186;463;463;526;517;0.95
187;457;457;520;508;0.95
188;451;451;513;502;0.95
189;446;446;506;498;0.95
190;440;440;500;491;0.95
191;434;434;494;486;0.95
192;429;429;487;479;0.95
193;423;423;481;473;0.95
194;418;418;475;464;0.95
195;413;413;469;459;0.95
196;407;407;463;455;0.95
197;402;402;457;449;0.95
198;397;397;451;445;0.95
199;392;392;446;438;0.95
200;393;393;440;432;0.96
201;392;392;434;425;0.98
202;391;391;429;420;0.98
203;389;389;423;417;0.99
204;389;389;418;412;0.99
205;389;389;413;409;0.99
206;389;389;407;404;1.00
207;389;389;402;400;1.00
208;388;388;397;396;1.00
209;388;388;392;394;1.00
210;389;389;393;392;1.00
211;388;388;392;391;1.00
212;388;388;391;391;1.00
213;388;388;389;390;1.00
214;388;388;389;389;1.00
215;388;388;389;389;1.00
216;388;388;389;389;1.00
217;388;388;389;389;1.00
218;388;388;388;388;1.00
219;388;388;388;388;1.00
220;388;388;389;388;1.00
221;388;388;388;388;1.00
222;388;388;388;388;1.00
223;388;388;388;388;1.00
224;388;388;388;388;1.00
225;388;388;388;388;1.00
226;388;388;388;388;1.00
227;388;388;388;388;1.00
228;388;388;388;388;1.00
229;388;388;388;388;1.00
230;388;388;388;388;1.00
231;388;388;388;388;1.00
232;388;388;388;388;1.00
233;388;388;388;388;1.00
234;388;388;388;388;1.00
235;388;388;388;388;1.00
236;388;388;388;388;1.00
237;388;388;388;388;1.00
238;388;388;388;388;1.00
239;388;388;388;388;1.00
240;388;388;388;388;1.00
241;388;388;388;388;1.00
242;388;388;388;388;1.00
243;388;388;388;388;1.00
244;388;388;388;388;1.00
245;388;388;388;388;1.00
246;388;388;388;388;1.00
247;388;388;388;388;1.00
248;388;388;388;388;1.00
249;388;388;388;388;1.00
250;388;388;388;388;1.00
251;388;388;388;388;1.00
252;388;388;388;388;1.00
253;388;388;388;388;1.00
254;388;388;388;388;1.00
255;388;388;388;388;1.00
256;388;388;388;388;1.00
257;388;388;388;388;1.00
258;388;388;388;388;1.00
259;388;388;388;388;1.00
260;388;388;388;388;1.00
261;388;388;388;388;1.00
262;388;388;388;388;1.00
263;388;388;388;388;1.00
264;388;388;388;388;1.00
265;388;388;388;388;1.00
266;388;388;388;388;1.00
267;388;388;388;388;1.00
268;388;388;388;388;1.00
269;388;388;388;388;1.00
270;388;388;388;388;1.00
271;388;388;388;388;1.00
272;388;388;388;388;1.00
273;388;388;388;388;1.00
274;388;388;388;388;1.00
275;388;388;388;388;1.00
276;388;388;388;388;1.00
277;388;388;388;388;1.00
278;388;388;388;388;1.00
279;388;388;388;388;1.00
280;388;388;388;388;1.00
281;388;388;388;388;1.00
282;388;388;388;388;1.00
283;388;388;388;388;1.00
284;388;388;388;388;1.00
285;388;388;388;388;1.00
286;388;388;388;388;1.00
287;388;388;388;388;1.00
288;388;388;388;388;1.00
289;388;388;388;388;1.00
290;388;388;388;388;1.00
291;388;388;388;388;1.00
292;388;388;388;388;1.00
293;388;388;388;388;1.00
294;388;388;388;388;1.00
295;388;388;388;388;1.00
296;388;388;388;388;1.00
297;388;388;388;388;1.00
298;388;388;388;388;1.00
299;388;388;388;388;1.00
300;388;388;388;388;1.00
