days,RKI Nowcast 4 days,RKI Nowcast 7 days,Projected 7 days
2020-03-05,394.0,NaN,NaN
2020-03-06,507.25,NaN,NaN
2020-03-07,673.0,664.7142857142857,NaN
2020-03-08,895.0,910.0,NaN
2020-03-09,1274.5,1231.7142857142858,NaN
2020-03-10,1728.5,1630.142857142857,NaN
2020-03-11,2291.75,2072.714285714286,NaN
2020-03-12,2858.0,2586.8571428571427,4849.484735766636
2020-03-13,3441.75,3079.5714285714284,5826.12581091837
2020-03-14,3906.75,3557.0,6443.786788391394
2020-03-15,4267.0,4127.714285714285,6820.776722045399
2020-03-16,4870.75,4508.0,7271.623790576948
2020-03-17,5090.5,4801.0,7135.614529457487
2020-03-18,5304.25,4961.571428571428,6880.867287815041
2020-03-19,5316.0,5100.571428571428,6482.0838264870545
2020-03-20,5144.25,5101.857142857143,6069.222183430602
2020-03-21,4946.0,4979.0,5652.096955420297
2020-03-22,4578.5,4856.285714285715,5134.423226757905
2020-03-23,4686.5,4690.714285714285,4776.039023936
2020-03-24,4373.25,4566.428571428572,4391.863057397249
2020-03-25,4367.25,4462.571428571428,4201.201312412933
2020-03-26,4412.25,4290.142857142857,4124.032090485072
2020-03-27,4153.5,4211.0,3916.3739308393574
2020-03-28,4106.5,4131.428571428572,3890.2316254912853
2020-03-29,3817.25,4022.4285714285716,3818.0370024121426
2020-03-30,3916.25,3950.714285714286,3725.896664452241
2020-03-31,3779.25,3896.714285714286,3710.125786472654
2020-04-01,3817.25,3857.5714285714284,3678.972345563549
2020-04-02,3933.0,3801.5714285714284,3675.462195768187
2020-04-03,3767.0,3675.5714285714284,3646.402816202894
2020-04-04,3625.0,3595.4285714285716,3485.2000602469207
2020-04-05,3290.0,3445.1428571428573,3370.0945180599
2020-04-06,3194.5,3370.8571428571427,3154.3570719065106
2020-04-07,3025.5,3204.0,3059.2602169280353
2020-04-08,2992.0,3057.714285714286,2884.820208797824
2020-04-09,2992.0,2857.1428571428573,2724.9591634242834
2020-04-10,2738.0,2715.714285714286,2496.1571270863124
2020-04-11,2478.5,2608.8571428571427,2306.519224645985
2020-04-12,2248.5,2401.0,2208.946821166181
2020-04-13,2045.25,2243.5714285714284,1975.8621740337326
2020-04-14,1951.75,2110.4285714285716,1854.3513225563295
2020-04-15,1932.75,1974.857142857143,1751.4959375845287
2020-04-16,1882.5,1877.142857142857,1628.081795221109
2020-04-17,1821.25,1793.857142857143,1584.4187493237662
2020-04-18,1691.5,1702.142857142857,1525.864505526902
2020-04-19,1534.0,1658.0,1443.265951134427
2020-04-20,1490.75,1572.0,1445.4620496031653
2020-04-21,1417.75,1479.5714285714287,1368.671143396743
2020-04-22,1382.75,1410.5714285714287,1282.293912857068
2020-04-23,1372.25,1339.7142857142858,1235.0321693949102
2020-04-24,1264.25,1278.857142857143,1147.5222385846635
2020-04-25,1178.5,1220.857142857143,1095.328569129388
2020-04-26,1081.25,1152.5714285714287,1048.624621817212
2020-04-27,1039.25,1094.2857142857142,986.2012351203268
2020-04-28,988.25,1033.2857142857142,936.3624510028261
2020-04-29,953.0,985.8571428571429,881.0847176691225
2020-04-30,961.0,938.7142857142857,849.5487113724643
2020-05-01,890.0,900.7142857142857,808.9213179891384
2020-05-02,839.75,879.4285714285714,779.2099015323449
2020-05-03,812.0,849.4285714285714,777.3008822012688
2020-05-04,800.5,831.2857142857143,759.4818837561006
2020-05-05,800.25,813.8571428571429,759.6295786908512
2020-05-06,801.0,780.8571428571429,755.9476402147938
2020-05-07,788.5,761.2857142857143,718.8210193301638
2020-05-08,735.75,738.2857142857143,701.8186794680558
2020-05-09,677.0,709.8571428571429,672.3970577434251
2020-05-10,630.0,677.8571428571429,635.410570830303
2020-05-11,620.25,650.1428571428571,606.933531719949
2020-05-12,605.75,628.0,576.7806829296209
