days,RKI Nowcast 4 days,RKI Nowcast 7 days,Projected 7 days
2020-03-04,68.0,NaN,NaN
2020-03-05,86.75,NaN,NaN
2020-03-06,113.25,102.0,NaN
2020-03-07,134.25,132.71428571428572,NaN
2020-03-08,174.5,189.0,NaN
2020-03-09,258.5,258.57142857142856,NaN
2020-03-10,358.75,346.0,NaN
2020-03-11,495.0,436.42857142857144,818.2309276592035
2020-03-12,618.25,536.5714285714286,1020.9637207421866
2020-03-13,721.5,631.0,1184.0083813790604
2020-03-14,786.0,718.0,1315.6373489806685
2020-03-15,825.5,813.1428571428571,1355.351150368709
2020-03-16,917.75,874.8571428571429,1382.2802550688994
2020-03-17,950.75,925.5714285714286,1323.3293497373543
2020-03-18,1010.5,951.2857142857143,1258.0780331060446
2020-03-19,1026.5,983.1428571428571,1183.3032577984243
2020-03-20,1019.0,985.4285714285714,1141.1118844707573
2020-03-21,979.5,964.8571428571429,1084.0050870166358
2020-03-22,894.25,943.8571428571429,999.1036535340945
2020-03-23,904.75,915.0,938.0409277671175
2020-03-24,831.5,883.8571428571429,863.0425752857936
2020-03-25,832.75,862.4285714285714,813.1326341454651
2020-03-26,847.25,828.2857142857143,794.9744471383934
2020-03-27,816.75,816.1428571428571,754.4034055297507
2020-03-28,806.5,805.8571428571429,751.7155709630206
2020-03-29,757.75,798.1428571428571,750.1943470282141
2020-03-30,792.25,796.2857142857143,754.350772366179
2020-03-31,775.5,800.4285714285714,772.7569293749308
2020-04-01,805.25,804.0,789.0455387203374
2020-04-02,844.0,799.4285714285714,802.7036565072531
2020-04-03,819.0,777.5714285714286,800.3634475479955
2020-04-04,773.75,753.2857142857143,763.8975944969894
2020-04-05,675.25,706.8571428571429,716.2555422694253
2020-04-06,622.25,674.7142857142857,635.9809734761684
2020-04-07,557.25,630.5714285714286,583.2138457316154
2020-04-08,548.0,604.2857142857143,533.1240258303275
2020-04-09,583.25,561.5714285714286,517.5596170597206
2020-04-10,564.75,563.5714285714286,482.4001968368196
2020-04-11,579.25,548.8571428571429,500.7294558898553
2020-04-12,532.25,513.4285714285714,496.08844267332967
2020-04-13,463.25,481.2857142857143,451.7250975512953
2020-04-14,416.75,459.14285714285717,423.75567255983617
2020-04-15,365.25,428.2857142857143,383.671513893602
2020-04-16,372.25,415.2857142857143,352.37400627295193
2020-04-17,393.0,370.7142857142857,356.13946826252635
2020-04-18,385.75,355.2857142857143,315.60541863261955
2020-04-19,350.5,348.0,299.2398718073803
2020-04-20,322.75,342.57142857142856,298.17488847871107
2020-04-21,289.5,332.57142857142856,291.9112057741821
2020-04-22,298.5,316.7142857142857,304.53750520132115
2020-04-23,304.75,290.14285714285717,290.7405185798484
2020-04-24,291.75,283.57142857142856,256.5032209485391
2020-04-25,282.5,263.42857142857144,249.17165772222322
2020-04-26,229.5,249.28571428571428,219.12090940901777
2020-04-27,204.75,225.14285714285714,204.0091625152315
2020-04-28,175.75,203.85714285714286,180.43911312913113
2020-04-29,159.0,191.42857142857142,154.27907987459102
2020-04-30,178.75,175.57142857142858,153.20908399936494
2020-05-01,162.75,149.42857142857142,137.70988869449576
2020-05-02,150.0,143.71428571428572,116.80952431556987
2020-05-03,124.25,132.71428571428572,110.43885116229755
2020-05-04,102.0,128.71428571428572,97.49002166829874
2020-05-05,93.75,118.42857142857143,97.21701099903366
2020-05-06,104.75,107.14285714285714,98.84916848087808
2020-05-07,114.75,112.57142857142857,90.43741507812383
2020-05-08,127.5,115.42857142857143,102.6313453063683
2020-05-09,126.75,112.71428571428571,107.9646869256921
2020-05-10,114.25,109.42857142857143,108.78222014761734
2020-05-11,106.0,107.57142857142857,111.26713765853901
2020-05-12,85.0,104.57142857142857,103.06212259913475
2020-05-13,85.75,95.42857142857143,95.74940327974043
2020-05-14,84.5,81.57142857142857,83.5138737516359
