days,RKI Nowcast 4 days,RKI Nowcast 7 days,Projected 7 days
2020-03-04,1.25,NaN,NaN
2020-03-05,1.25,NaN,NaN
2020-03-06,1.5,2.5714285714285716,NaN
2020-03-07,3.5,4.0,NaN
2020-03-08,6.25,5.142857142857143,NaN
2020-03-09,8.0,7.142857142857143,NaN
2020-03-10,11.25,10.0,NaN
2020-03-11,14.25,13.142857142857142,28.14331779056841
2020-03-12,17.25,15.428571428571429,36.20418942260092
2020-03-13,19.5,16.714285714285715,40.45080501798999
2020-03-14,20.25,18.571428571428573,34.33981277215043
2020-03-15,21.25,20.571428571428573,31.135865978322993
2020-03-16,21.0,20.714285714285715,30.774089057950057
2020-03-17,20.5,20.0,26.785385359053013
2020-03-18,20.0,19.714285714285715,23.162731673080877
2020-03-19,19.25,19.428571428571427,20.67429507547946
2020-03-20,17.5,18.428571428571427,18.5310919717108
2020-03-21,16.25,16.0,16.73680624003901
2020-03-22,14.25,15.0,13.459924067586837
2020-03-23,12.75,14.285714285714286,12.067483283506162
2020-03-24,11.5,13.428571428571429,11.075472630279402
2020-03-25,11.25,12.571428571428571,10.45147655699989
2020-03-26,13.25,11.857142857142858,10.849988608798126
2020-03-27,12.0,12.142857142857142,10.17055448978233
2020-03-28,12.5,11.571428571428571,10.905154559275399
2020-03-29,11.0,10.857142857142858,10.359317487207571
2020-03-30,9.75,10.857142857142858,9.661047048250825
2020-03-31,9.75,11.714285714285714,10.101873013187442
2020-04-01,10.5,11.285714285714286,11.36602971113906
2020-04-02,12.75,11.571428571428571,11.114478463967673
2020-04-03,13.25,11.0,12.043255510357401
2020-04-04,12.75,12.0,11.08594785980397
2020-04-05,11.5,12.285714285714286,12.233822316322383
2020-04-06,11.5,13.285714285714286,13.201021021195421
2020-04-07,12.75,13.0,14.92666902747221
2020-04-08,14.0,12.428571428571429,14.6978230828557
2020-04-09,13.5,11.428571428571429,12.727148780042995
2020-04-10,11.75,11.571428571428571,10.868138371166228
2020-04-11,9.75,11.285714285714286,10.2828816838596
2020-04-12,8.5,10.714285714285714,9.876400014479284
2020-04-13,8.5,9.714285714285714,9.374499045758071
2020-04-14,9.75,8.857142857142858,8.68876071646084
2020-04-15,9.25,14.428571428571429,7.522779487288871
2020-04-16,19.0,15.857142857142858,16.3469484209616
2020-04-17,20.75,16.857142857142858,19.80075430959858
2020-04-18,22.25,17.428571428571427,23.583618192373013
2020-04-19,23.5,18.571428571428573,26.505454437673368
2020-04-20,15.75,18.571428571428573,23.88727549044094
2020-04-21,14.5,32.142857142857146,21.84760093092038
2020-04-22,36.0,27.0,56.37388894843804
2020-04-23,35.75,27.857142857142858,34.56495254716115
2020-04-24,37.0,27.0,34.79370169739158
2020-04-25,37.0,26.714285714285715,32.41724853836163
2020-04-26,14.0,25.714285714285715,21.538690505661897
2020-04-27,13.5,28.857142857142858,24.241179337616966
2020-04-28,16.25,19.857142857142858,30.103131861287086
2020-04-29,23.5,22.142857142857142,17.183331724995377
2020-04-30,27.75,22.857142857142858,20.38311937977704
2020-05-01,32.0,23.857142857142858,22.00564648211797
2020-05-02,28.25,26.428571428571427,21.67234167826566
2020-05-03,25.5,29.285714285714285,34.12628702194241
2020-05-04,26.0,27.714285714285715,38.39202993216212
2020-05-05,24.75,24.714285714285715,33.15664407906155
2020-05-06,25.0,25.571428571428573,25.378782307958648
2020-05-07,26.25,24.714285714285715,24.978745794010027
2020-05-08,24.0,24.571428571428573,21.8877112210858
2020-05-09,22.75,22.857142857142858,22.373650001803163
2020-05-10,22.25,20.857142857142858,21.56115474225748
2020-05-11,17.75,20.285714285714285,17.643317444784255
2020-05-12,17.0,19.857142857142858,17.19697310712935
2020-05-13,16.75,17.0,16.656358751742186
2020-05-14,16.0,15.714285714285714,13.823029662694044
2020-05-15,15.0,15.0,12.923456419819145
2020-05-16,13.5,13.857142857142858,12.010132729730403
2020-05-17,11.75,13.285714285714286,10.520091296977002
2020-05-18,11.25,12.285714285714286,10.882888979315625
2020-05-19,11.0,12.428571428571429,10.18590946375555
2020-05-20,12.25,12.142857142857142,10.906276449458115
2020-05-21,13.0,12.285714285714286,11.170094993922257
2020-05-22,13.25,12.0,11.68238647467879
2020-05-23,13.0,12.714285714285714,11.815579154491015
2020-05-24,12.25,13.285714285714286,12.94614876999884
2020-05-25,13.25,13.571428571428571,14.259855569961376
2020-05-26,13.25,13.714285714285714,14.713024430746858
2020-05-27,15.25,14.714285714285714,15.030486270261775
2020-05-28,16.5,16.0,16.25410041993492
2020-05-29,18.0,16.857142857142858,18.197022985029424
2020-05-30,18.75,15.571428571428571,19.69162458786794
2020-05-31,15.5,14.0,17.2424993631579
2020-06-01,12.0,14.428571428571429,13.40429530702734
2020-06-02,10.5,14.285714285714286,13.033716117036704
2020-06-03,10.75,16.0,12.237991773814002
2020-06-04,17.25,15.428571428571429,16.29891833541833
2020-06-05,20.5,14.0,16.11700755027901
2020-06-06,18.0,14.428571428571429,13.809086590689065
2020-06-07,15.75,14.714285714285714,14.52392738262001
2020-06-08,9.75,13.285714285714286,13.46758125634569
2020-06-09,6.75,12.714285714285714,11.114850726570003
2020-06-10,8.5,8.714285714285714,11.495361133021529
2020-06-11,7.25,7.285714285714286,6.034402438175012
2020-06-12,7.5,7.142857142857143,5.162521106650524
2020-06-13,7.25,6.285714285714286,5.155540336017845
2020-06-14,4.5,5.857142857142857,3.65407084335724
2020-06-15,4.75,6.142857142857143,4.282369191816453
2020-06-16,4.75,6.142857142857143,5.257805912828752
2020-06-17,6.75,6.285714285714286,5.612616172907583
2020-06-18,7.25,6.142857142857143,6.285714285714286
2020-06-19,8.0,6.142857142857143,6.279447554430311
2020-06-20,7.25,5.857142857142857,6.142857142857143
2020-06-21,4.0,6.285714285714286,5.571535435135004
2020-06-22,4.75,5.142857142857143,6.285714285714286
2020-06-23,3.0,3.4285714285714284,4.226593132868224
2020-06-24,2.0,3.2857142857142856,1.966657201190254
2020-06-25,2.75,2.7142857142857144,2.1947831730572163
2020-06-26,1.75,2.142857142857143,1.3943300046175904
2020-06-27,2.0,2.142857142857143,1.3589449821934199
2020-06-28,1.75,1.5714285714285714,1.5020904689199546
2020-06-29,1.75,2.2857142857142856,1.1571720932793803
2020-06-30,2.25,2.4285714285714284,2.0259860215342855
2020-07-01,2.5,2.4285714285714284,2.67344689776471
2020-07-02,3.25,2.4285714285714284,2.568500268110447
2020-07-03,3.25,2.5714285714285716,3.0812244427367994
2020-07-04,2.5,3.142857142857143,2.8330297681533287
2020-07-05,3.0,2.857142857142857,3.9574239539162526
2020-07-06,2.5,2.2857142857142856,3.327107443211444
2020-07-07,2.0,2.4285714285714284,2.170675344194654
2020-07-08,2.25,2.142857142857143,2.31978603986105
2020-07-09,1.5,1.8571428571428572,1.514898346677843
2020-07-10,1.5,1.7142857142857142,1.3276848355174216
2020-07-11,1.5,1.2857142857142858,1.3752390742720648
2020-07-12,1.0,1.2857142857142858,0.806127303522502
2020-07-13,1.0,1.4285714285714286,0.8635992656630714
2020-07-14,1.25,1.7142857142857142,1.1655917042994255
2020-07-15,2.25,1.8571428571428572,1.7142857142857142
2020-07-16,2.5,2.7142857142857144,2.2442136329782834
2020-07-17,4.0,4.0,3.87030689082592
2020-07-18,6.0,4.714285714285714,6.891858615680304
2020-07-19,6.25,5.285714285714286,10.282999144002718
2020-07-20,7.0,5.428571428571429,12.018564371845299
2020-07-21,6.0,5.142857142857143,10.155742750601146
2020-07-22,4.25,5.857142857142857,6.642220687594825
2020-07-23,4.5,5.857142857142857,7.37541918837205
2020-07-24,5.0,5.714285714285714,6.447519309104408
2020-07-25,6.5,5.571428571428571,5.9021162847044035
2020-07-26,7.0,5.142857142857143,5.807708212712622
2020-07-27,5.75,6.285714285714286,4.764832684762873
2020-07-28,6.75,6.285714285714286,6.605171885148993
2020-07-29,5.25,5.571428571428571,6.882102473670245
2020-07-30,4.5,4.857142857142857,5.571428571428571
2020-07-31,4.5,3.5714285714285716,4.6395720797221
2020-08-01,1.75,3.0,1.9561527895491289
2020-08-02,1.25,3.7142857142857144,1.3407026988189357
2020-08-03,2.5,2.4285714285714284,2.552819727949533
2020-08-04,2.5,2.5714285714285716,1.7258732073221086
2020-08-05,3.5,2.857142857142857,2.321583546252453
2020-08-06,4.25,3.4285714285714284,2.8220688957936013
2020-08-07,4.0,4.285714285714286,3.2791923009809243
2020-08-08,5.0,4.142857142857143,6.717064987339735
2020-08-09,4.0,4.571428571428571,6.564444704924051
2020-08-10,5.5,5.0,6.394568064071173
2020-08-11,5.25,5.285714285714286,6.8706098749714215
2020-08-12,5.25,5.714285714285714,6.2992313015149675
2020-08-13,7.0,6.0,7.009481614870355
2020-08-14,6.5,6.285714285714286,7.392997288895289
2020-08-15,7.25,7.285714285714286,7.341135986668282
2020-08-16,7.5,7.428571428571429,9.546081299546387
2020-08-17,8.5,7.857142857142857,8.92696407494178
2020-08-18,8.5,8.142857142857142,9.666308138260744
2020-08-19,8.5,8.0,10.025691519837997
2020-08-20,8.25,8.142857142857142,8.584286338714472
2020-08-21,7.75,8.285714285714286,8.790217825944719
2020-08-22,8.0,8.714285714285714,8.647479390926566
2020-08-23,8.5,8.285714285714286,9.200363951824375
2020-08-24,9.0,9.571428571428571,8.484765853361997
2020-08-25,11.0,10.142857142857142,10.645646160098197
2020-08-26,11.75,11.857142857142858,11.598743080347203
2020-08-27,13.75,12.714285714285714,14.713910642999195
2020-08-28,15.5,13.285714285714286,17.017313619561353
2020-08-29,14.5,13.142857142857142,17.161039171300732
2020-08-30,13.75,13.714285714285714,16.175360353075572
2020-08-31,12.25,13.142857142857142,15.661394385279944
2020-09-01,11.75,13.0,13.526850729895575
2020-09-02,11.25,12.142857142857142,12.754686220807953
2020-09-03,12.0,11.142857142857142,11.459264632266654
2020-09-04,11.0,10.285714285714286,9.66303088010512
2020-09-05,9.5,10.428571428571429,8.591461135671029
2020-09-06,9.25,9.714285714285714,8.782725535318248
2020-09-07,8.0,9.0,8.05169055852437
2020-09-08,8.0,9.285714285714286,7.618931001917271
2020-09-09,9.5,10.0,8.65359007151358
2020-09-10,11.25,10.571428571428571,9.747122712355665
2020-09-11,12.5,10.571428571428571,11.118232250440764
2020-09-12,12.25,10.571428571428571,11.733163607543629
2020-09-13,11.5,10.857142857142858,11.590427774597268
2020-09-14,9.5,14.0,11.697419910515233
2020-09-15,14.0,14.142857142857142,17.80937581168734
2020-09-16,15.75,12.714285714285714,17.558753959072366
2020-09-17,15.0,13.0,14.293812074019623
2020-09-18,16.25,14.142857142857142,14.376372716270506
2020-09-19,12.5,14.714285714285714,14.268335053743154
2020-09-20,12.5,16.0,15.257723694374693
2020-09-21,15.25,14.714285714285714,19.60787918440189
2020-09-22,17.0,16.285714285714285,15.924587586531189
2020-09-23,19.5,18.857142857142858,17.725895112854143
2020-09-24,22.25,21.428571428571427,22.19649751876497
2020-09-25,25.75,25.0,25.909385826088673
2020-09-26,30.5,24.714285714285715,36.57242093540352
2020-09-27,27.25,26.714285714285715,34.541943728467665
2020-09-28,29.0,29.0,35.23001508399198
2020-09-29,30.25,29.0,37.17751847005145
2020-09-30,26.5,33.285714285714285,33.109840908864506
2020-10-01,37.25,37.714285714285715,41.491392268315884
2020-10-02,45.0,40.0,47.65573481031331
2020-10-03,49.75,42.714285714285715,48.74257232894633
2020-10-04,51.25,47.857142857142854,55.73027315525319
2020-10-05,54.5,52.0,62.69605438337097
2020-10-06,55.25,61.0,67.41064837738752
2020-10-07,63.25,62.714285714285715,88.16322688894208
2020-10-08,72.25,62.857142857142854,83.25016567892489
2020-10-09,71.25,66.85714285714286,76.39614117800389
2020-10-10,75.75,66.14285714285714,79.877931535128
2020-10-11,60.25,64.28571428571429,70.96893695346354
2020-10-12,57.25,69.28571428571429,65.6830919691785
2020-10-13,66.5,68.42857142857143,75.09812272041516
2020-10-14,66.0,73.0,69.70303981519338
2020-10-15,84.25,80.14285714285714,77.68357530625318
2020-10-16,99.0,81.71428571428571,91.24104304231973
2020-10-17,97.5,87.28571428571429,90.41739243479343
2020-10-18,93.25,93.42857142857143,105.34088636788913
2020-10-19,93.0,92.57142857142857,115.18339476943812
2020-10-20,88.25,96.42857142857143,104.66551767258706
2020-10-21,91.75,101.28571428571429,111.21691566777518
2020-10-22,108.75,101.85714285714286,112.92503432805783
2020-10-23,113.75,107.0,107.87136225581983
2020-10-24,122.75,110.28571428571429,117.6335588528694
2020-10-25,117.5,112.42857142857143,121.71331229336258
2020-10-26,112.5,123.85714285714286,122.07625140387684
2020-10-27,126.75,135.71428571428572,144.84401647681156
2020-10-28,142.0,151.42857142857142,163.86817626582993
2020-10-29,180.75,164.14285714285714,187.1325832107813
2020-10-30,204.25,177.71428571428572,208.68388881414072
2020-10-31,217.0,198.14285714285714,225.03970043703853
2020-11-01,226.75,203.85714285714286,262.54357984243825
2020-11-02,204.25,208.57142857142858,263.33268836631936
2020-11-03,204.5,216.14285714285714,256.3315215527596
2020-11-04,209.25,220.0,255.6003060834973
2020-11-05,219.0,230.57142857142858,239.06220599735656
2020-11-06,251.0,224.28571428571428,251.52740809881567
2020-11-07,244.5,203.28571428571428,235.7495112855755
2020-11-08,204.25,199.71428571428572,194.4758583787113
2020-11-09,168.75,185.42857142857142,183.62858364652692
2020-11-10,125.5,180.57142857142858,149.37735701408565
2020-11-11,132.75,173.0,147.51089255702468
2020-11-12,166.0,157.42857142857142,153.77988660936057
2020-11-13,177.0,155.71428571428572,138.26033193410873
