days,RKI Nowcast 4 days,RKI Nowcast 7 days,Projected 7 days
2020-03-04,309.25,NaN,NaN
2020-03-05,362.75,NaN,NaN
2020-03-06,459.5,454.85714285714283,NaN
2020-03-07,589.75,579.4285714285714,NaN
2020-03-08,762.5,789.7142857142857,NaN
2020-03-09,1092.75,1070.0,NaN
2020-03-10,1488.0,1414.2857142857142,NaN
2020-03-11,1988.25,1803.0,3161.1504160839722
2020-03-12,2504.0,2262.8571428571427,4143.873257315284
2020-03-13,3037.5,2702.0,5062.354446283373
2020-03-14,3445.75,3122.285714285714,5676.931623490951
2020-03-15,3751.5,3653.4285714285716,6056.442071389863
2020-03-16,4331.0,4034.8571428571427,6530.778010863195
2020-03-17,4589.0,4366.142857142857,6508.795025148269
2020-03-18,4900.5,4569.285714285715,6426.672988470934
2020-03-19,5036.25,4754.142857142857,6171.383097224607
2020-03-20,4963.75,4801.857142857143,5876.853015650189
2020-03-21,4788.0,4712.142857142857,5537.348648118232
2020-03-22,4357.0,4638.571428571428,5029.45101036663
2020-03-23,4452.25,4510.0,4694.464556432279
2020-03-24,4161.75,4427.857142857143,4322.11773763697
2020-03-25,4246.0,4381.714285714285,4163.061406535402
2020-03-26,4458.0,4276.571428571428,4162.5746085623205
2020-03-27,4330.25,4236.428571428572,4037.699701321523
2020-03-28,4309.25,4183.285714285715,4052.418860400668
2020-03-29,3929.0,4095.4285714285716,3999.8419715464324
2020-03-30,3951.25,4088.4285714285716,3890.499295020418
2020-03-31,3832.5,4072.714285714286,3944.690235267534
2020-04-01,3959.5,4069.5714285714284,3952.078244705324
2020-04-02,4259.0,4062.4285714285716,3992.5483363449644
2020-04-03,4272.5,3964.1428571428573,4039.6398224895775
2020-04-04,4091.75,3905.5714285714284,3878.6300257615903
2020-04-05,3636.5,3783.5714285714284,3776.343297520619
2020-04-06,3450.75,3709.8571428571427,3566.6633481342606
2020-04-07,3215.5,3566.0,3434.7977267728743
2020-04-08,3262.75,3430.4285714285716,3278.2880835096803
2020-04-09,3427.5,3168.1428571428573,3131.515494882072
2020-04-10,3195.5,3036.5714285714284,2809.736256559661
2020-04-11,2913.5,2931.714285714286,2631.0408572367783
2020-04-12,2526.5,2686.4285714285716,2499.9198812356576
2020-04-13,2148.75,2487.1428571428573,2178.7351585706847
2020-04-14,2023.75,2311.8571428571427,2027.6986002983674
2020-04-15,1994.5,2148.4285714285716,1867.0604579610247
2020-04-16,2056.75,2094.5714285714284,1740.1255686517745
2020-04-17,2159.75,1995.857142857143,1790.7831099260482
2020-04-18,2053.75,1910.2857142857142,1733.0365388221558
2020-04-19,1823.75,1886.7142857142858,1663.8438063832311
2020-04-20,1690.75,1807.2857142857142,1699.5271834893963
2020-04-21,1521.0,1735.142857142857,1593.8279825561865
2020-04-22,1538.25,1653.142857142857,1549.125832743062
2020-04-23,1606.75,1548.857142857143,1488.8436014178883
2020-04-24,1568.5,1475.4285714285713,1358.307228536259
2020-04-25,1473.0,1402.2857142857142,1286.0419985331052
2020-04-26,1241.25,1337.7142857142858,1186.6615835994464
2020-04-27,1138.75,1275.7142857142858,1125.0102749269697
2020-04-28,1043.0,1185.5714285714287,1080.0330267113657
2020-04-29,1031.0,1122.0,995.8905766063082
2020-04-30,1116.25,1036.2857142857142,965.5727588402642
2020-05-01,1041.0,972.1428571428571,877.2239839482938
2020-05-02,941.75,945.2857142857143,807.8850620438477
2020-05-03,820.75,897.0,789.4272577588271
2020-05-04,745.0,870.2857142857143,744.2686440079178
2020-05-05,752.5,845.1428571428571,754.379720568342
2020-05-06,808.75,804.8571428571429,761.9202212435146
2020-05-07,870.5,796.1428571428571,729.443920082448
2020-05-08,864.5,785.2857142857143,739.2222154299455
2020-05-09,793.0,763.2857142857143,730.6122866544907
2020-05-10,677.5,742.4285714285714,701.8652065435514
2020-05-11,635.75,705.2857142857143,692.4711848821236
2020-05-12,593.5,675.4285714285714,635.3225056975724
2020-05-13,616.5,642.8571428571429,600.5190422116548
2020-05-14,659.75,630.0,573.8548763987384
2020-05-15,667.75,615.4285714285714,567.9525064936299
2020-05-16,635.75,607.2857142857143,561.9266089906254
2020-05-17,558.25,600.4285714285714,558.3299151286228
2020-05-18,561.5,585.7142857142857,568.9417502988218
2020-05-19,516.0,587.1428571428571,550.8830722535787
2020-05-20,567.0,556.5714285714286,566.344020473595
2020-05-21,571.0,517.7142857142857,523.9784553773452
2020-05-22,523.0,496.57142857142856,467.7110535848886
2020-05-23,479.75,482.57142857142856,440.7556778407543
2020-05-24,375.25,456.85714285714283,404.66663800536077
2020-05-25,387.0,462.14285714285717,387.99817352689246
2020-05-26,418.75,436.42857142857144,421.9809517982796
2020-05-27,461.75,441.0,401.5301904228727
2020-05-28,498.25,432.14285714285717,418.2059059915918
2020-05-29,479.75,430.14285714285717,417.49005117605344
2020-05-30,423.75,418.57142857142856,407.9570390934918
2020-05-31,344.0,388.0,402.92010357822437
2020-06-01,294.25,355.7142857142857,343.8658405396608
2020-06-02,285.0,346.7142857142857,300.0448421011198
2020-06-03,315.75,347.14285714285717,294.4491464113488
2020-06-04,373.25,347.85714285714283,309.7650254470544
2020-06-05,409.5,337.42857142857144,328.0494762327332
2020-06-06,391.75,333.7142857142857,327.4095131986426
2020-06-07,321.25,352.2857142857143,324.0014734710076
2020-06-08,303.25,361.14285714285717,356.9522052363458
2020-06-09,308.25,364.14285714285717,373.68438594262614
2020-06-10,362.5,344.0,386.53650094420163
2020-06-11,391.25,341.85714285714283,350.57060711636706
2020-06-12,391.25,352.42857142857144,335.7975988580457
2020-06-13,376.5,363.14285714285717,346.6839626427237
2020-06-14,319.5,367.0,362.2759597218648
2020-06-15,343.5,446.42857142857144,387.4726459035629
2020-06-16,491.25,475.2857142857143,545.0755161547482
2020-06-17,577.5,511.14285714285717,575.1993433643885
2020-06-18,650.25,561.0,625.4405653060464
2020-06-19,730.75,575.7142857142857,718.9796314568096
2020-06-20,602.75,587.8571428571429,705.376955237073
2020-06-21,516.5,604.5714285714286,719.761185323814
2020-06-22,507.0,539.7142857142857,712.0889553135191
2020-06-23,454.0,509.14285714285717,521.3691633520233
2020-06-24,461.0,499.7142857142857,461.59840426442196
2020-06-25,496.0,469.42857142857144,446.19516515307953
2020-06-26,494.25,452.85714285714283,402.53186901414796
