days,RKI Nowcast 4 days,RKI Nowcast 7 days,Projected 7 days
2020-03-04,9.25,NaN,NaN
2020-03-05,10.0,NaN,NaN
2020-03-06,14.75,17.571428571428573,NaN
2020-03-07,24.0,29.0,NaN
2020-03-08,43.5,44.714285714285715,NaN
2020-03-09,70.5,64.57142857142857,NaN
2020-03-10,100.75,86.28571428571429,NaN
2020-03-11,129.5,113.57142857142857,273.01284525917833
2020-03-12,158.0,142.71428571428572,344.1572283959045
2020-03-13,186.25,169.0,382.97795215423383
2020-03-14,206.75,187.71428571428572,392.0371608444798
2020-03-15,221.0,213.57142857142858,365.6711157478817
2020-03-16,245.5,231.71428571428572,361.59464361252947
2020-03-17,256.5,243.14285714285714,345.4086119890685
2020-03-18,259.25,247.42857142857142,327.69042424778735
2020-03-19,262.5,246.71428571428572,307.9804144907848
2020-03-20,244.25,240.57142857142858,277.48364143127293
2020-03-21,222.25,227.0,248.27708615287767
2020-03-22,192.75,216.28571428571428,213.76268374702835
2020-03-23,191.0,201.42857142857142,193.81190997467988
2020-03-24,177.25,194.14285714285714,171.51072826987667
2020-03-25,178.0,188.42857142857142,165.22421620207174
2020-03-26,195.0,187.28571428571428,167.0128914605446
2020-03-27,193.5,185.71428571428572,170.20086086132383
2020-03-28,194.75,189.42857142857142,175.85219313394708
2020-03-29,184.5,189.71428571428572,185.8916053396833
2020-03-30,193.25,187.14285714285714,190.66344677141296
2020-03-31,177.0,190.42857142857142,187.0280921176368
2020-04-01,186.25,191.85714285714286,194.19555671383438
2020-04-02,199.25,186.71428571428572,193.6155473657466
2020-04-03,188.25,183.57142857142858,184.53715480956475
2020-04-04,188.5,177.85714285714286,181.0561908576054
2020-04-05,162.5,169.0,168.28165838170102
2020-04-06,153.25,171.85714285714286,152.78937152976005
2020-04-07,151.0,164.42857142857142,160.29928416748848
2020-04-08,152.75,161.0,150.90621205811195
2020-04-09,169.75,152.28571428571428,150.76510051450754
2020-04-10,159.0,149.42857142857142,142.05151494988863
2020-04-11,149.25,151.57142857142858,135.50423332453872
2020-04-12,140.0,142.85714285714286,142.06686237347023
2020-04-13,121.5,135.0,128.99454245306367
2020-04-14,120.75,133.57142857142858,122.45329633103233
2020-04-15,125.0,124.14285714285714,122.49448290431624
2020-04-16,121.75,127.28571428571429,108.05257569247695
2020-04-17,131.75,123.28571428571429,117.77596813489951
2020-04-18,128.75,121.42857142857143,115.98398315171812
2020-04-19,118.75,121.85714285714286,113.19865801731603
2020-04-20,117.5,120.0,120.10638796566238
2020-04-21,108.0,114.28571428571429,114.2875437442061
2020-04-22,109.25,114.71428571428571,107.84334672834333
2020-04-23,110.0,107.0,109.80088096002792
2020-04-24,105.75,101.28571428571429,97.5224235680645
2020-04-25,96.0,91.57142857142857,89.36575409502821
2020-04-26,79.0,86.28571428571429,76.64785071812837
2020-04-27,67.75,84.42857142857143,67.61500367971452
2020-04-28,68.5,78.85714285714286,69.05834797082974
2020-04-29,70.0,73.14285714285714,65.07456101447312
2020-04-30,77.75,69.0,63.80701521405452
2020-05-01,75.5,67.57142857142857,60.628168539513844
2020-05-02,66.5,67.42857142857143,58.02632270806566
2020-05-03,59.0,64.14285714285714,59.34844475971372
2020-05-04,52.0,62.142857142857146,57.075014906602114
2020-05-05,56.5,64.0,57.145476310528885
2020-05-06,63.75,61.57142857142857,61.500560925944136
2020-05-07,67.5,62.714285714285715,58.189872663115125
2020-05-08,73.0,59.857142857142854,61.902648870964946
2020-05-09,62.5,58.57142857142857,58.32462113694729
2020-05-10,49.5,59.42857142857143,54.219925628859286
2020-05-11,48.25,58.857142857142854,57.51371281675928
2020-05-12,49.75,58.57142857142857,55.658015899992684
2020-05-13,61.5,56.57142857142857,57.69786678550297
2020-05-14,64.0,54.714285714285715,55.391654029227034
2020-05-15,64.75,57.285714285714285,52.32880046331745
2020-05-16,59.75,64.42857142857143,56.21525412650863
2020-05-17,59.75,65.85714285714286,69.92571472625245
2020-05-18,64.5,60.42857142857143,74.69338898809826
2020-05-19,59.75,56.57142857142857,65.41931566977588
2020-05-20,60.25,53.42857142857143,56.09052304349917
2020-05-21,44.75,50.142857142857146,45.64630713854949
2020-05-22,37.25,47.285714285714285,39.1944185099615
2020-05-23,36.75,39.0,38.112880954466696
2020-05-24,29.0,35.42857142857143,28.269645467817863
2020-05-25,33.0,36.714285714285715,26.931818517195865
2020-05-26,36.25,34.142857142857146,29.987183970774435
2020-05-27,37.25,38.42857142857143,28.557512296866644
2020-05-28,43.75,39.42857142857143,38.086143285898046
2020-05-29,44.25,39.57142857142857,42.34015991214216
2020-05-30,41.75,37.714285714285715,41.773564526868725
2020-05-31,35.25,34.857142857142854,41.055918747849326
2020-06-01,26.75,31.857142857142858,31.78587723765059
2020-06-02,23.0,28.285714285714285,26.028790245098694
2020-06-03,17.5,24.571428571428573,20.160999189641526
2020-06-04,20.75,21.428571428571427,17.864173905761934
2020-06-05,20.75,18.714285714285715,15.942257698029668
2020-06-06,18.75,18.0,13.867701548825254
2020-06-07,17.25,20.857142857142858,13.549138558137292
2020-06-08,20.25,20.714285714285715,18.54183388616145
2020-06-09,21.75,24.142857142857142,20.23701100751378
2020-06-10,27.0,22.428571428571427,29.037024521792766
2020-06-11,28.5,24.142857142857142,25.312774789535155
2020-06-12,26.5,24.571428571428573,26.76876147502258
2020-06-13,25.5,26.0,28.05424986258913
2020-06-14,20.5,23.857142857142858,27.978202961243372
2020-06-15,22.75,25.571428571428573,25.096089319172957
2020-06-16,24.25,26.857142857142858,26.81123206587258
2020-06-17,31.0,29.142857142857142,28.397043660219587
2020-06-18,34.0,31.571428571428573,31.290047490232237
2020-06-19,40.0,32.0,37.085817521624044
2020-06-20,36.75,31.571428571428573,37.28673061088208
2020-06-21,28.75,31.857142857142858,36.52496224882165
2020-06-22,27.5,30.571428571428573,34.57947298936407
2020-06-23,22.5,28.571428571428573,29.601222057089746
2020-06-24,25.0,28.285714285714285,26.001473040293373
2020-06-25,28.25,24.714285714285715,26.161259960298974
2020-06-26,27.5,24.0,21.4857987323763
2020-06-27,25.25,24.0,20.695343544293298
2020-06-28,20.75,25.428571428571427,20.80686673282408
2020-06-29,22.5,25.857142857142858,23.29125627657473
2020-06-30,24.5,27.0,26.83325659612939
2020-07-01,30.25,27.714285714285715,29.223610172160438
2020-07-02,34.75,29.285714285714285,29.96423985943729
2020-07-03,34.25,29.571428571428573,32.00927314615864
2020-07-04,31.75,30.714285714285715,32.597339571326316
