days,RKI Nowcast 4 days,RKI Nowcast 7 days,Projected 7 days
2020-03-04,15.75,NaN,NaN
2020-03-05,20.25,NaN,NaN
2020-03-06,25.25,25.142857142857142,NaN
2020-03-07,34.75,33.857142857142854,NaN
2020-03-08,45.75,46.142857142857146,NaN
2020-03-09,64.5,59.57142857142857,NaN
2020-03-10,82.0,82.42857142857143,NaN
2020-03-11,116.0,107.0,195.22667680667408
2020-03-12,148.25,142.42857142857142,251.6541798643909
2020-03-13,193.75,174.57142857142858,338.6786944221029
2020-03-14,236.0,198.0,395.5224720831758
2020-03-15,248.0,228.57142857142858,402.58550123288984
2020-03-16,277.25,255.28571428571428,423.18727191875894
2020-03-17,279.5,275.42857142857144,425.07065575492805
2020-03-18,292.5,286.7142857142857,407.65325515891675
2020-03-19,303.5,286.14285714285717,389.97319039039695
2020-03-20,294.5,276.7142857142857,342.9031475500261
2020-03-21,273.5,268.14285714285717,294.9575944714658
2020-03-22,235.25,269.0,262.01456031294845
2020-03-23,246.25,262.14285714285717,255.45259730805506
2020-03-24,237.5,261.85714285714283,244.1735588155991
2020-03-25,266.5,258.2857142857143,251.77007221537392
2020-03-26,286.25,263.42857142857144,252.27686910441705
2020-03-27,284.75,269.85714285714283,259.806548173461
2020-03-28,287.0,273.2857142857143,275.3686548933169
2020-03-29,255.25,273.7142857142857,283.17711233587625
2020-03-30,273.25,277.14285714285717,286.27862614129054
2020-03-31,261.5,273.7142857142857,289.0046208715722
2020-04-01,273.25,274.0,276.6708715868957
2020-04-02,287.5,270.7142857142857,274.5023213411922
2020-04-03,279.5,262.14285714285717,268.5939994902794
2020-04-04,260.75,261.42857142857144,251.64486650424018
2020-04-05,233.75,249.57142857142858,251.5551984970675
2020-04-06,230.5,244.14285714285714,231.80261440110968
2020-04-07,215.0,234.71428571428572,224.08315664437842
2020-04-08,225.25,232.0,216.07345211390012
2020-04-09,236.0,215.28571428571428,213.67906280951615
2020-04-10,219.5,205.14285714285714,194.80919730596636
2020-04-11,192.5,200.0,180.1613358439036
2020-04-12,173.0,180.71428571428572,175.29236711210964
2020-04-13,140.75,169.85714285714286,145.19828077680646
2020-04-14,135.5,155.71428571428572,138.47725377020024
2020-04-15,138.75,141.71428571428572,126.46287973454078
2020-04-16,134.0,139.71428571428572,112.21967460040455
2020-04-17,147.75,138.42857142857142,119.66951282258005
2020-04-18,137.5,130.28571428571428,120.41361278983095
2020-04-19,128.5,128.57142857142858,115.04642019852456
2020-04-20,117.75,121.57142857142857,118.97353449892547
2020-04-21,103.75,119.28571428571429,108.11407941937924
2020-04-22,105.25,114.85714285714286,105.72419031502857
2020-04-23,107.0,106.28571428571429,104.22496296538061
2020-04-24,108.75,99.42857142857143,93.77937567144814
2020-04-25,98.75,95.14285714285714,86.67387130065899
2020-04-26,86.25,92.14285714285714,80.15563836157727
2020-04-27,78.0,87.42857142857143,76.92167615687788
2020-04-28,70.75,79.57142857142857,73.82193835185346
2020-04-29,70.5,76.14285714285714,66.8877624877218
2020-04-30,73.75,70.28571428571429,65.16637233886193
2020-05-01,70.5,68.42857142857143,58.96372774216407
2020-05-02,65.5,64.28571428571429,57.618456814969626
2020-05-03,59.5,64.71428571428571,54.85033938523403
2020-05-04,58.0,60.142857142857146,56.89448999454838
2020-05-05,53.0,58.285714285714285,53.015899993474946
2020-05-06,52.75,55.0,51.39664410382573
2020-05-07,57.5,51.714285714285715,49.70978642899576
2020-05-08,47.75,49.42857142857143,43.78504073053235
2020-05-09,46.75,47.714285714285715,42.82773770607124
2020-05-10,41.0,41.57142857142857,40.538646414898366
2020-05-11,34.5,40.857142857142854,33.10642152507425
2020-05-12,34.0,40.714285714285715,33.61567628437702
2020-05-13,37.5,39.0,35.16364723162753
2020-05-14,42.25,49.0,34.58197052692561
2020-05-15,60.75,48.142857142857146,53.76248558101723
2020-05-16,59.5,48.42857142857143,52.84729043878004
2020-05-17,54.5,52.42857142857143,54.5613152399625
2020-05-18,58.0,54.714285714285715,65.51091998472806
2020-05-19,44.0,65.57142857142857,61.01071581051797
2020-05-20,68.0,65.85714285714286,84.73080795598847
2020-05-21,72.75,56.142857142857146,83.1603855725399
