days,RKI Nowcast 4 days,RKI Nowcast 7 days,Projected 7 days
2020-03-04,101.25,NaN,NaN
2020-03-05,110.5,NaN,NaN
2020-03-06,130.5,134.85714285714286,NaN
2020-03-07,167.0,164.0,NaN
2020-03-08,209.25,211.28571428571428,NaN
2020-03-09,281.5,276.57142857142856,NaN
2020-03-10,376.75,360.14285714285717,NaN
2020-03-11,495.5,446.2857142857143,712.72103852055
2020-03-12,604.5,545.2857142857143,926.9324972177095
2020-03-13,715.0,639.8571428571429,1126.9996320506093
2020-03-14,802.75,724.1428571428571,1244.8611837096373
2020-03-15,846.25,837.1428571428571,1300.3523349872255
2020-03-16,965.5,897.8571428571429,1409.8855690341345
2020-03-17,993.75,943.0,1357.6885578530691
2020-03-18,1026.0,970.4285714285714,1289.472458701126
2020-03-19,1035.5,986.7142857142857,1223.8429783412448
2020-03-20,976.75,969.8571428571429,1129.567459416396
2020-03-21,928.75,935.2857142857143,1033.3250028532914
2020-03-22,832.75,892.8571428571429,928.728719744135
2020-03-23,829.75,858.4285714285714,836.052357062702
2020-03-24,769.25,834.8571428571429,767.8278532900282
2020-03-25,789.75,816.0,746.3583578462885
2020-03-26,826.75,791.7142857142857,743.0251443039624
2020-03-27,799.75,782.1428571428571,728.2068351663314
2020-03-28,795.25,766.4285714285714,732.889157383298
2020-03-29,713.0,754.0,716.528288042753
2020-03-30,721.25,758.0,709.8482734441342
2020-03-31,710.25,752.8571428571429,732.1782388513692
2020-04-01,738.5,761.8571428571429,731.483055184636
2020-04-02,818.75,775.1428571428571,758.79523114935
2020-04-03,836.75,760.4285714285714,789.8700261929179
2020-04-04,799.5,761.1428571428571,762.1326984323512
2020-04-05,727.5,754.1428571428571,767.8232308075848
2020-04-06,707.75,740.7142857142857,747.9695200325569
2020-04-07,650.0,724.4285714285714,712.4904714896156
2020-04-08,675.5,698.4285714285714,696.8901936311177
2020-04-09,709.0,633.8571428571429,657.4552581045929
2020-04-10,626.25,609.0,561.4910873360184
2020-04-11,569.0,588.8571428571429,526.650409562328
2020-04-12,490.25,530.4285714285714,494.9664058221137
2020-04-13,413.75,491.0,418.0766993476383
2020-04-14,400.0,453.2857142857143,396.4204436821968
2020-04-15,403.0,419.85714285714283,363.2930692786635
2020-04-16,413.25,415.0,337.7801821133936
2020-04-17,424.25,399.7142857142857,354.7482811494279
2020-04-18,409.25,384.85714285714283,349.5758282497603
2020-04-19,370.5,380.0,341.7395480194776
2020-04-20,344.0,365.85714285714283,350.6210275838619
2020-04-21,314.0,342.42857142857144,328.95690547991734
2020-04-22,302.75,321.14285714285717,302.2475191643462
2020-04-23,301.75,304.14285714285717,280.7714678186231
2020-04-24,291.5,289.42857142857144,259.74501025686226
2020-04-25,275.5,270.57142857142856,245.02294087512533
2020-04-26,244.75,259.2857142857143,226.41748216585847
2020-04-27,235.75,248.71428571428572,220.3803883599824
2020-04-28,217.0,235.14285714285714,211.70142412247827
2020-04-29,207.75,228.85714285714286,199.6597933415414
2020-04-30,228.75,218.71428571428572,203.92980330617576
2020-05-01,220.5,213.71428571428572,194.83655684583547
2020-05-02,214.25,208.0,192.4345704135766
2020-05-03,197.25,200.28571428571428,189.593333588874
2020-05-04,185.75,200.14285714285714,180.69102988342252
2020-05-05,184.5,204.71428571428572,186.5201288469496
2020-05-06,192.0,201.71428571428572,197.8240723989972
2020-05-07,217.75,195.71428571428572,197.67349634357893
2020-05-08,212.5,192.14285714285714,192.77254141297269
2020-05-09,200.25,191.0,186.788498507577
2020-05-10,173.25,189.57142857142858,180.4867424979603
2020-05-11,164.5,181.85714285714286,179.7317074903149
2020-05-12,160.25,172.71428571428572,170.96909753083108
2020-05-13,158.0,161.0,158.6862970792667
2020-05-14,165.25,165.85714285714286,143.79421088955291
2020-05-15,171.0,164.71428571428572,151.64704108853283
2020-05-16,170.25,162.42857142857142,153.98734379863157
2020-05-17,155.25,164.0,154.91862387429117
2020-05-18,169.75,159.57142857142858,166.2000253781967
2020-05-19,149.25,156.28571428571428,154.71488405748377
