days,RKI Nowcast 4 days,RKI Nowcast 7 days,Projected 7 days
2020-03-04,4.5,NaN,NaN
2020-03-05,4.25,NaN,NaN
2020-03-06,5.25,5.142857142857143,NaN
2020-03-07,6.5,5.857142857142857,NaN
2020-03-08,6.5,6.857142857142857,NaN
2020-03-09,8.5,9.714285714285714,NaN
2020-03-10,12.75,12.285714285714286,NaN
2020-03-11,17.0,16.285714285714285,21.51796438905706
2020-03-12,22.5,21.857142857142858,33.38411733215073
2020-03-13,31.5,26.0,47.329425938550166
2020-03-14,35.0,30.714285714285715,53.603582642647744
2020-03-15,38.75,42.285714285714285,64.74664618394914
2020-03-16,54.0,47.714285714285715,91.55438397918385
2020-03-17,58.0,53.857142857142854,90.27078146285278
2020-03-18,65.75,56.857142857142854,95.81919079754333
2020-03-19,68.25,60.857142857142854,91.46142031248561
2020-03-20,64.0,63.142857142857146,82.49727671288574
2020-03-21,62.0,61.857142857142854,80.68042200085584
2020-03-22,52.75,60.142857142857146,70.55495446403447
2020-03-23,59.75,59.0,62.828965829895445
2020-03-24,54.75,56.0,57.53693369690729
2020-03-25,53.25,56.857142857142854,51.154625979905354
2020-03-26,59.5,55.0,53.7225697277364
2020-03-27,55.0,53.285714285714285,51.586621198171166
2020-03-28,52.0,52.42857142857143,49.43686767235063
2020-03-29,46.5,48.0,49.61212118370782
2020-03-30,44.25,44.57142857142857,42.17446182098258
2020-03-31,36.5,45.714285714285715,37.2715163415541
2020-04-01,40.0,44.0,40.337244315090125
2020-04-02,44.75,42.857142857142854,39.13236911076167
2020-04-03,46.0,43.857142857142854,39.87599444102602
2020-04-04,50.75,47.42857142857143,43.442983557780856
2020-04-05,49.5,46.142857142857146,48.702432874145984
2020-04-06,48.0,47.857142857142854,47.766837089590126
2020-04-07,45.25,46.142857142857146,52.54347563586873
2020-04-08,44.0,45.857142857142854,48.09543936000149
2020-04-09,42.0,44.142857142857146,44.60561357287465
2020-04-10,42.5,41.285714285714285,42.66123628843612
2020-04-11,39.25,39.42857142857143,36.99049353753627
2020-04-12,37.75,39.142857142857146,35.13263892460024
2020-04-13,36.25,39.42857142857143,34.68347970680315
2020-04-14,37.0,38.285714285714285,36.14922140554413
2020-04-15,38.75,39.285714285714285,36.28922894338981
2020-04-16,41.75,38.857142857142854,39.188021154813896
2020-04-17,42.0,39.57142857142857,38.667881625549775
2020-04-18,39.5,38.285714285714285,39.67936483593936
2020-04-19,37.75,41.142857142857146,38.285714285714285
2020-04-20,39.5,43.142857142857146,42.706350577011236
2020-04-21,44.5,44.0,46.702133424997946
2020-04-22,46.5,43.42857142857143,47.55531604480541
2020-04-23,50.75,44.142857142857146,46.989380819868906
2020-04-24,47.25,43.142857142857146,46.3898161605067
2020-04-25,39.5,42.857142857142854,43.142857142857146
2020-04-26,35.75,40.142857142857146,41.84761401276832
2020-04-27,33.75,39.0,37.46019890648419
2020-04-28,35.5,37.42857142857143,35.35284475639392
2020-04-29,36.5,37.0,33.780491442761125
2020-04-30,40.5,34.285714285714285,33.857706896555804
2020-05-01,37.0,32.714285714285715,31.115801604256657
2020-05-02,28.5,32.42857142857143,28.364610845599774
2020-05-03,27.0,32.57142857142857,28.65574070910277
2020-05-04,26.0,29.857142857142858,29.029270012335108
2020-05-05,27.75,30.142857142857142,26.84756473056328
2020-05-06,32.0,29.142857142857142,28.56025115794737
2020-05-07,34.75,29.142857142857142,27.55948594330768
2020-05-08,31.0,29.428571428571427,27.121450631596705
2020-05-09,27.75,28.142857142857142,29.08949957956542
2020-05-10,23.5,26.428571428571427,26.477077251454343
2020-05-11,21.25,24.142857142857142,24.182114318382865
2020-05-12,19.0,22.0,20.41441270955563
2020-05-13,19.0,20.571428571428573,17.55429535993918
2020-05-14,21.5,19.285714285714285,17.073651193513957
2020-05-15,18.5,19.857142857142858,15.592141209975429
2020-05-16,20.25,19.571428571428573,17.457209872586656
2020-05-17,19.25,18.857142857142858,17.984783373595306
2020-05-18,18.25,19.571428571428573,17.666661614446834
2020-05-19,19.5,19.428571428571427,19.791159589854157
