days, RKI Nowcast 4 days, RKI Nowcast 7 days, Projected 7 days
2020-03-04, 307.75, , 
2020-03-05, 361.75, , 
2020-03-06, 459.0, 453.7142857142857, 
2020-03-07, 589.0, 578.7142857142857, 
2020-03-08, 762.25, 789.1428571428571, 
2020-03-09, 1092.25, 1069.142857142857, 
2020-03-10, 1486.75, 1413.2857142857142, 
2020-03-11, 1987.0, 1802.142857142857, 3164.768112090444
2020-03-12, 2502.75, 2262.1428571428573, 4145.717284790651
2020-03-13, 3036.75, 2701.5714285714284, 5062.498440745895
2020-03-14, 3445.75, 3121.5714285714284, 5678.9343895157335
2020-03-15, 3751.75, 3653.4285714285716, 6056.432810985704
2020-03-16, 4332.0, 4034.8571428571427, 6532.757812459269
2020-03-17, 4589.0, 4366.0, 6510.94286114952
2020-03-18, 4899.75, 4568.428571428572, 6427.705358133234
2020-03-19, 5034.75, 4753.428571428572, 6170.763372975778
2020-03-20, 4961.75, 4800.857142857143, 5875.590085512326
2020-03-21, 4786.25, 4710.0, 5535.327797823654
2020-03-22, 4353.75, 4635.0, 5025.392095263293
2020-03-23, 4448.5, 4505.857142857143, 4688.665133389442
2020-03-24, 4155.75, 4423.571428571428, 4315.425178856697
2020-03-25, 4239.5, 4378.428571428572, 4156.543291404061
2020-03-26, 4454.5, 4273.571428571428, 4158.608643584947
2020-03-27, 4329.25, 4233.428571428572, 4035.2087484605067
2020-03-28, 4309.5, 4181.428571428572, 4050.3299756764327
2020-03-29, 3930.0, 4093.8571428571427, 3999.8234674903892
2020-03-30, 3950.5, 4087.714285714286, 3890.101780673637
2020-03-31, 3830.5, 4072.714285714286, 3945.5629318582537
2020-04-01, 3958.25, 4069.1428571428573, 3954.1272326247904
2020-04-02, 4258.0, 4060.285714285714, 3993.037422485708
2020-04-03, 4270.5, 3962.714285714286, 4037.109008956458
2020-04-04, 4090.75, 3903.8571428571427, 3876.746220132615
2020-04-05, 3634.5, 3781.714285714286, 3773.3654859887006
2020-04-06, 3447.5, 3707.5714285714284, 3563.730260208768
2020-04-07, 3213.25, 3563.1428571428573, 3432.411145494033
2020-04-08, 3259.0, 3426.714285714286, 3274.461200232153
2020-04-09, 3423.0, 3165.1428571428573, 3126.71254738299
2020-04-10, 3191.5, 3033.0, 2806.1420020351206
2020-04-11, 2910.25, 2928.285714285714, 2627.030142850815
2020-04-12, 2523.5, 2683.4285714285716, 2496.3084270791483
2020-04-13, 2146.75, 2482.8571428571427, 2176.325056871039
2020-04-14, 2019.25, 2306.8571428571427, 2022.8219906619831
2020-04-15, 1988.25, 2144.1428571428573, 1861.3472499772465
